"p1","lambda1","p2"
0.186946071696305,0.0471950437505056,0.0512895610412866
0.241787777112679,0.0459707053204457,0.053451974071059
0.191247334162005,0.0540335262716411,0.0531929380767026
0.236243217011994,0.0479340875922766,0.061063694080174
0.183772728572819,0.0412788120175729,0.0479195106480875
0.194625015665894,0.0579374510577916,0.0458464389641676
0.194156625628252,0.0563620099596501,0.0437382795495028
0.20233899280296,0.047277317538306,0.0488807010258266
0.213591777550939,0.0488609183937433,0.0539719720457111
0.24172095622325,0.051600768971313,0.0510564267513414
0.221497880047533,0.057467372110935,0.0455859755922614
0.170567772397911,0.0512234439981146,0.0515636875185447
0.230141123668404,0.0522035755693315,0.0538831094618111
0.246782182024318,0.0511741095599894,0.0479544962451219
0.189498218158311,0.054887926098772,0.0543096195585025
0.205634132089201,0.0460367985894198,0.0477665927516609
0.220888108256206,0.0454540203870308,0.0489238197829266
0.202673868120255,0.0526332417180072,0.0477531057336222
0.201005480095508,0.049822611621644,0.0571264170665579
0.22566927986723,0.0576264889905276,0.0534739400847919
0.211729730412319,0.0473796248768035,0.0548227348262899
0.20380915510091,0.0432216703879642,0.0537598432848421
0.210329695713009,0.0510181934060127,0.0470530474717158
0.204919703589884,0.0510795237461918,0.0553946275198702
0.190924902950929,0.0444781582293306,0.0498762509773108
0.181944544590128,0.0455867073139167,0.0432330401167226
0.251951295078754,0.0491757064001192,0.0564923991112062
0.210826489761447,0.0564226441215253,0.0481701139786798
0.21394052330515,0.0472500211467033,0.0524422414277693
0.205351518092623,0.0555140397251676,0.0417044564790516
0.225693724112594,0.0564514793594786,0.0533928779991408
0.209146324488957,0.0496761683621803,0.057788864353255
0.175902358935392,0.048388056788474,0.0519086140666039
0.234739841039317,0.0498814124430542,0.0489616974415359
0.185351477937414,0.057499643151178,0.0568871621973891
0.199408847723341,0.0471954411234931,0.0458143820115408
0.18210552494991,0.0514092675633459,0.0571279818513462
0.19795851481353,0.0587367489690884,0.0400483219339402
0.214357134663724,0.0508574117332198,0.0467768344507965
0.165767459911421,0.051578315148103,0.0475463564079572
0.230932017977188,0.0451886747554722,0.0526945130420615
0.191058233316145,0.0482165986506569,0.0409254582059268
0.183134920427502,0.04586642369524,0.0472099730472794
0.217897842678261,0.0452629022520725,0.0512262205952312
0.252002150561225,0.0571776615818941,0.0505118610703169
0.21452061247707,0.05089874794383,0.0409159154785984
0.225212971252301,0.0406843644655477,0.0437300086624721
0.214327611000953,0.0450390104551271,0.0495379634418443
0.193788373145541,0.0467361288982505,0.0497360020332346
0.195190823027316,0.053369175919602,0.0486604131968408
0.219976896674494,0.0529758693475257,0.04114121370193
0.20918542570075,0.0541572500524058,0.0540872705218113
0.210707131784952,0.0456277681978703,0.0554183760534914
0.207142489450097,0.0391676016951929,0.0568359932282529
0.20036355341738,0.0465929841379843,0.0587521947684376
0.212194363065125,0.0433125153949076,0.0518443991585563
0.228057108412062,0.0523827548458161,0.0514782324160506
0.208347120155607,0.0452822643069738,0.0464891287604529
