"alpha0","alpha1","alpha2"
14.5130189052896,-3.81709783045718,3.01044848442747
9.80476518886437,-2.52146702257454,2.55378105997119
8.41933815236536,-2.12202761265985,1.65449037101043
10.5144340107037,-2.30488100173259,2.5898345866209
9.98972143998977,-2.41468313746375,2.64903482131155
11.9200104288969,-2.67307975187637,2.99075599556648
9.0592991086249,-2.30652775519563,2.1868377214531
10.0357024755579,-2.66099149849089,2.51387672079067
8.56886327686284,-2.25667730290623,2.27365360813873
8.9219862289114,-2.14743502393037,2.56396623352781
10.0433886824229,-2.74511129474541,2.34545672089972
10.1016379506037,-2.57398829166166,2.40087730324396
11.227998707043,-2.95377620038143,3.72918133466266
10.8036161802768,-3.00474405432466,2.94654379876978
8.30965231994869,-1.90469568710606,1.97728269177291
7.13117723045348,-1.54021025087717,1.62437856298202
9.57792183155002,-2.52670629831013,3.1402811993139
8.5859944791288,-2.14355761891907,1.9271810210328
8.35658471382086,-2.1097201998372,2.05161668621233
9.31340140063119,-2.30481978885925,2.02859767678093
7.77170224967384,-2.22734482195639,2.15498673007217
11.5174957297331,-2.62100720262004,2.82098511692926
10.5745027557541,-2.61974126059053,3.51172471292891
9.36199281886595,-2.56359062336433,2.09263929258585
6.97074358322365,-1.67796295213422,1.70763134528978
9.59429560303447,-2.10103504879825,2.41567703724487
8.74809521434681,-2.05228771683364,2.07017689847342
9.7103818947335,-2.7048504483248,2.48419372216195
11.6726860066586,-2.96109277875922,2.44684578193702
9.90367598389862,-2.9497471787281,2.24727401315605
8.94892589033663,-2.20947076571806,1.64440384997109
9.82584221931724,-2.11022257534076,2.27814216836049
6.68951488836699,-1.6228776220257,1.48858749461642
12.091398560919,-3.11685332661911,4.47794779393355
8.32986276852767,-2.21451584111393,1.61946018606179
7.1445124018656,-1.76374918683137,2.11362134131644
11.6252082397416,-2.56308960235078,3.43371168159391
10.4728470400968,-2.67673171050843,2.34553953091541
10.9524773686265,-2.66537310460976,2.31207562697492
10.201728506408,-2.33539877305702,2.15952020544327
8.12473520562154,-1.97557322465099,1.87773503499991
9.59722293944724,-2.64065237030544,2.53909412606274
13.0172476878989,-3.18367760028779,3.70841846472478
8.39483166089518,-2.01637011501325,2.44998826079731
9.14962333404819,-2.27846575348282,1.57537497407582
10.9844016530691,-2.60614660982966,3.14355604204952
9.18918322378894,-2.37563654990541,1.71838692365865
13.5768736466662,-3.69131527734015,3.30279346698616
7.36705837048771,-1.83279014284346,1.17262976360172
8.83178489464658,-2.37313366396595,2.73762316699329
7.7375322568959,-2.08946071942409,1.73736374458292
10.8052944852793,-2.56475956802721,3.06223658084209
8.76398290518354,-2.13344658040735,1.42664818478648
16.1076460182848,-4.10428583126147,3.43626656930543
9.29225368381248,-2.24637465441166,1.93125199293177
7.46486042397691,-1.79979905687315,1.98425648105735
9.07195694421841,-1.80937209883514,2.12953278210877
11.644787441618,-3.17613639662492,2.76341419623245
9.51494458433447,-2.26537319137404,1.92594219414586
6.59611026107523,-1.69172797438581,1.94888678838478
8.75131029419662,-2.34530872853111,2.48875201453087
9.13466771869471,-2.13529314617203,2.3007997761013
9.48592886421064,-2.16791415046323,2.1757484919252
14.5034087362166,-3.96493819433861,4.14650739743898
9.37637637927201,-2.01679035622214,1.98319893495725
8.83010463771572,-2.15027428187316,2.14943833260932
6.49604544174191,-1.9190042415056,1.62321539026762
9.24415672140956,-1.9243874749904,1.74490786857037
9.07991968922483,-2.13088752395184,2.21939472351685
11.2703932837798,-2.89571192968545,2.16451681218959
8.79636854613302,-2.36818599938943,2.23541493062434
9.36389027423691,-2.29929455671853,2.05073973470689
10.7650682993469,-3.00650336851818,2.57244501250801
