"alpha0","alpha1"
10.4993004176172,-2.59004245121934
8.03858584001969,-1.98755768904241
8.04210137360732,-1.93217495311228
8.3055999810453,-2.12777865674159
9.08980817444059,-2.41582822358745
8.69059109698755,-2.18875747223908
9.74204812511209,-2.49918316119296
8.88020791132538,-2.14958976654537
8.18982341729364,-2.08750180513218
9.33835323640329,-2.34272555012102
9.09140710626914,-2.30473361077731
8.01205827908221,-2.06139070494469
7.21090132409399,-1.65784555153353
8.48059474132243,-2.09364156198515
7.55391973656679,-1.90057468928425
8.63428302530013,-2.08498769317152
9.00818186636615,-2.17475437461564
9.56242611007588,-2.3908845628752
8.52589479843893,-2.10182998990301
8.29725724103643,-1.9953765612489
8.68191946198221,-2.15561935707227
8.8574520969126,-2.14553549565662
8.17080127221881,-2.0199849840653
7.7476807387201,-1.95440604011552
8.63181081424026,-2.13379260186772
7.86504261923303,-1.93316863284593
8.76152052306799,-2.19561133270934
7.53485824088001,-1.66891663836152
8.43154927015367,-2.10575222395723
8.82302796043684,-2.29097701320585
8.72743044738162,-2.22946117038362
9.6980342602154,-2.306584420061
8.80693932175635,-2.20015070190435
7.93125377214906,-1.92261621315632
8.64365854376249,-2.08749979640941
8.80440458251294,-2.37746457647908
7.88623821988495,-1.9379057854524
8.06238273234593,-2.02835376877615
9.50686126140723,-2.2596906870534
6.8656128914627,-1.69066050799527
8.00583198782691,-1.98900668638103
8.05666964204816,-1.99958785066801
8.35015477909971,-2.09985950043891
9.31437138139786,-2.32725817763922
8.15911284484247,-1.92434111113101
8.16915365797525,-2.02482606298106
8.52352018201422,-2.22129400481625
7.59653358232547,-1.92070192711213
7.88284255067617,-1.95659604928581
9.11668292594877,-2.3647458049142
7.48725320569054,-1.85509139649937
8.52673752158957,-2.17638177790991
8.10803390688269,-2.0985136844296
7.79227947837301,-1.85562305615727
7.6113600900558,-1.86433836135917
9.8211739715796,-2.4796262751199
7.22790121948754,-1.82198579206596
8.76866637765773,-2.04332374257124
9.45571738890925,-2.42467957276313
9.96755488010355,-2.4740507670748
9.66473523053146,-2.5677866988721
9.99569335903244,-2.39594951451944
9.3889313206598,-2.40606106565388
9.89408179433277,-2.43717156797066
8.98491417359733,-2.21501800667609
7.1757264568552,-1.79065879652494
8.35366329796013,-1.93366712600362
10.5149763024978,-2.64267736348448
8.78441457005809,-2.33236812973181
9.02272180801808,-2.08410641290235
8.7835215489169,-2.17661948181399
9.19623173412868,-2.19375398384886
8.33885846593754,-2.15499661349714
7.51726898521715,-1.86364306998409
7.8510110191412,-2.00720864977976
8.64279219912263,-2.12735486505753
7.76334961860955,-1.94440333407125
9.6649405063249,-2.46199420284533
8.51073863399019,-2.15811990860075
8.00885840995349,-1.95406967898149
8.2729798808613,-1.95408442417793
9.093084372477,-2.15671748335962
8.71627629154231,-2.10800734645455
8.57603332356518,-2.18029882222449
8.57153778535376,-1.99017403097499
8.87316859663123,-2.24432830889698
7.68793814348333,-1.87087233710067
9.52760905227465,-2.36347016668886
7.89660566700347,-2.09571801151598
9.17360513350862,-2.28358193961295
8.36113928178985,-2.04532290442895
9.13669170475127,-2.1903709173637
8.91556203892913,-2.21128118374314
8.42551209942492,-2.08113353328869
8.22590447789447,-2.03121847991393
9.3075468331858,-2.21218460163182
8.22514548923921,-2.11052109534687
8.39874568849444,-2.18913049655318
8.60193481732971,-2.31431020398401
9.40029500944413,-2.32350696196417
8.00103598470058,-1.93698968964232
8.8655789024107,-2.15997196134115
9.07098378438713,-2.16897225123433
8.67815844807019,-2.10793584504657
9.74311112258428,-2.50198587614204
8.93937135532343,-2.2378283894953
9.7581083963774,-2.45714275247898
9.51833387355943,-2.29174946399423
10.4828459321941,-2.62165114540043
10.2122689131993,-2.47580826023843
9.76687772022651,-2.28007370889682
9.05309262227257,-2.16388685733887
8.50038955753343,-2.1027997085679
8.30155654179432,-2.06778326115733
7.68121154753685,-1.97484824563491
7.92249981644467,-1.99024839760248
9.22255139674352,-2.21169294160877
10.1561048004575,-2.51349880788412
8.2211636699867,-2.10462642940696
8.34264908373853,-1.97070896914789
8.45120815305239,-2.14597227656643
7.18708042674676,-1.80136958662648
8.74959663125402,-2.24679066083569
9.56369089036559,-2.48881232063626
9.54826775131184,-2.24817566287665
9.0792666939697,-2.36616532494647
7.51917693465814,-1.95911630454798
9.08513334366711,-2.2985110149
8.34113971688108,-2.09944801968809
9.30034907400857,-2.35212636586085
8.50417032044335,-2.11562227822401
8.83022585083813,-1.99399366425275
8.07546009859076,-2.08840821303601
8.01788620399116,-1.99026163328185
9.21215105445682,-2.2079147030763
9.12111013686424,-2.20056800961316
8.95350041204992,-2.12936623869621
7.4152660978704,-1.68297576590603
8.79500295295639,-2.30743717570271
8.59871970687736,-2.06604252285157
8.08828613083802,-1.94674885482196
7.46911904615827,-1.80419474772371
8.5404515740897,-2.01094262821776
6.88709161792941,-1.65885560127193
8.14071955392027,-1.97976077254312
8.30555748539506,-2.02084918543129
8.84901490274235,-2.24831789599211
9.24083268105291,-2.32634986454022
8.33572654951706,-2.14293728625498
8.78789592153492,-2.10207888947691
9.86440643687774,-2.4701371448565
8.82089795099897,-2.21854845299131
9.58652058992009,-2.42213105205195
10.7465688145892,-2.71349803244953
8.55263877340471,-1.9899154500101
11.1677519312707,-2.71569320694053
8.091250014539,-2.01050776153073
8.91368937347348,-2.1932636943749
8.92977323694253,-2.26743341869329
8.87784343989064,-2.13721516746265
8.69485897017121,-2.10714207311414
7.50970549149558,-1.85102951728992
7.29506592124636,-1.86088523696336
9.89906957076425,-2.56749541541064
9.03223550255698,-2.22548950342262
9.00807798768806,-2.1296912261042
8.42359507834109,-2.16001517682627
7.50721865891829,-1.87167440451942
6.76835587534515,-1.77700386225276
8.05417388454289,-2.13746190481792
9.7360631334965,-2.43101540450968
8.14770558186366,-2.01103230396266
8.7244700311015,-2.2075241799443
8.38860921754158,-2.0568180909501
7.72676368538673,-1.89574024913111
9.59444055284622,-2.30267034814025
