"p1","lambda1","p2"
0.070550811226306,0.0165383079416527,0.0156245672551986
0.0633315901188049,0.0152142027906769,0.0164003336624402
0.0632893983171295,0.0159594075332883,0.014933763718707
0.0634278237784341,0.0156044987640835,0.0157470125629138
0.068432680031126,0.0158500214026304,0.0162154016157109
0.0648176899759359,0.0156559855396463,0.016613221148423
0.0653507542706378,0.0161680775866386,0.0154779643873744
0.0627529507787728,0.0157473590781241,0.015755490087847
0.0658629773429936,0.0160091103234584,0.0151565968347959
0.062817699730952,0.0144946870319051,0.0157453319925552
0.0644653871266293,0.0161207328711887,0.0157174452268877
0.0653595776679091,0.0156099552139754,0.0161041493866964
0.0592983362026342,0.0160589229022532,0.0156304346533886
0.0652993539564059,0.0152544047336116,0.0156087076676739
0.066057131134708,0.015720104877454,0.0159341429145546
0.0642968526271688,0.0155032826350833,0.0159177198973119
0.0663170768369991,0.015185938180527,0.015041573967263
0.0641552045200121,0.0148299202532685,0.0155682445683304
0.0618995458123742,0.0157093485128615,0.0151298510161681
0.0620657895654419,0.0156363865457093,0.0152287932797423
0.0669879738492928,0.0169313555204808,0.0160166355943861
0.0630793968056792,0.0150564818649082,0.0151306944415818
0.0635320161745109,0.0149517615912931,0.0165351395456901
0.0611278772973268,0.0157272983422214,0.0163963431838531
0.0648714483893994,0.0158768100956109,0.0156709065966523
0.0650334163087267,0.0153313355904246,0.0165212706211593
0.0665126707014943,0.0149338095383114,0.0168926318250114
0.0682958895088064,0.0152994079999598,0.0165418133083624
0.0647468629643545,0.0153503257254948,0.0167088684951167
0.0651084371526022,0.0152985293213339,0.0170624852013441
0.0642746595135205,0.0160017631274664,0.015545822609534
0.061524333606049,0.0154361480640209,0.0151183378917774
0.0613331980446728,0.0156890301443395,0.0161218799958697
0.0644910142901771,0.0154856679221127,0.0160958462769066
0.0651042203130261,0.0160894342030818,0.0156114269754517
0.0645653384082053,0.0155030228100207,0.0154378154400788
0.0655159225263763,0.0152295974268961,0.0163425977985241
0.0669583742981405,0.0163300005512475,0.0153249252377172
0.0651098529419449,0.015837340628147,0.0157142015498397
0.0667538193161737,0.0144208039624885,0.0154941239636715
0.0623609085542754,0.0154068375100444,0.0161683373015444
0.0670717860835729,0.0151927939257792,0.0160069579587718
0.0637577774277629,0.0164081138296637,0.0164578843915971
0.0648589681376372,0.015156565413305,0.0158015123673167
0.0660473238264059,0.0159185822377218,0.0150430676703453
0.0649827860023814,0.0154676274898017,0.0163753257145118
0.0668520375030795,0.0155618252773441,0.0156512346582094
0.0652263907039818,0.0162070155610336,0.0158663604510399
0.0615964953620899,0.0156323927786274,0.0155410603180621
0.063764592897132,0.0162434310999588,0.0163179719715167
0.0627011470765535,0.0155188651354869,0.0159520635219126
0.065647862592569,0.0147366782765386,0.0152570378859513
0.063481347425764,0.0157261982600112,0.0151460575815773
0.0647006700114746,0.0146397985364831,0.0157714844619087
0.0635919462285,0.0155312924235861,0.0152107722258547
0.0660284025881266,0.0158163954604259,0.0154900405267482
0.0676490046265488,0.0154591545765433,0.0156458249774057
0.0644541601490086,0.0158154647337609,0.0154764172055942
0.0674058690653961,0.0151725791722977,0.0161386556801945
0.0657095005489669,0.0148893243154688,0.015560975865146
0.0624523786939593,0.0159967477233819,0.015586845567156
0.0657331508318552,0.0157773320294162,0.0159766871694721
0.0633185722154228,0.0150471114123592,0.0160007379203141
0.0650177738724339,0.0164541729721305,0.015623956289515
0.0618111912838204,0.0152205907478377,0.0157880846972231
0.0678173526322456,0.0153916288285515,0.0157716083273572
0.0663686459017959,0.0164072417672151,0.0153024228903683
0.0624328331255253,0.0155174565628853,0.0163895316370109
0.0655925455758807,0.0146824047127663,0.0148166606841934
0.0674956291081404,0.0148271958964727,0.0159756818275921
0.0664247025963916,0.0159557107919506,0.0154514909019
0.0674307614033707,0.0157040913620989,0.0159041340381369
0.0653109385105908,0.015521034048824,0.0156968448747386
0.0640493507049849,0.0165090076422098,0.0158418453463447
0.0638920912208252,0.0160981665937836,0.017643310378
0.0663410024162241,0.0165723883065641,0.0166475907875665
0.0665382490219628,0.0151375758188058,0.0164823573113286
0.0667092922098236,0.0158246598030465,0.0162347576204117
0.0656696772295202,0.0160675080048139,0.0164025081977021
0.0650042338309286,0.0163304995977598,0.0163746420001254
0.0637188284203255,0.0150537298311113,0.0163915851100368
0.0642612584889453,0.0161314804811605,0.0165786642600563
0.0649819602818336,0.0157244230241977,0.0162624555031549
0.0647367012195664,0.0156540569250808,0.0160879834942963
0.0630644839813344,0.0156924004923473,0.0160596813307341
0.0632345835736145,0.0152882795695993,0.0165625673669911
0.0614582028641575,0.0155318255044077,0.0154012395016764
0.0618941806388902,0.015095213975621,0.0156906897667199
0.0646583183776536,0.0163739799823887,0.0161848080621659
0.0659641007952663,0.0148353781031497,0.0169815962550212
0.0651330705556903,0.0159606880390082,0.015910629243039
0.0630458263294262,0.0159465932184955,0.0156542770229231
0.0606119814512502,0.0161391545040277,0.0158977065388438
0.0658197051915172,0.0154726495798861,0.0164667577938426
0.0629313985199513,0.0159244316331016,0.0159127927718446
0.0646419722691453,0.0153267583317111,0.0160375070750507
0.0665383366354063,0.0149510256113166,0.0157178604420498
0.0638707004231964,0.0159463398795633,0.0157937351856722
0.0644706780452363,0.0151797990998734,0.0167510815572927
0.0636810826314634,0.0151051992041567,0.0170119701478346
0.0666086937976749,0.0154443155783464,0.0166634137906275
0.0627552056703213,0.0150284471740651,0.0159186443200181
0.0628524188304162,0.0156313489693738,0.0157746717959707
0.0645125355316438,0.015301568735612,0.0157457190792788
0.0670111941014979,0.0153327574488216,0.0159668453468709
0.0645194732202796,0.0159879269564015,0.0165644860500652
0.0653340342748881,0.0151095678631863,0.0158117955450591
0.0633515730579415,0.0155410257960426,0.0154541788829905
0.0631527580816965,0.0157124218489311,0.0157183779084127
0.0625540853187813,0.015862898685542,0.0163289557693088
0.0625442350646599,0.0165900391900831,0.0156279751209651
0.0628229794493489,0.016136103780171,0.0171515716359027
0.0674587632046406,0.0165758779246824,0.0164489100686792
0.0646708957578791,0.0159135018161991,0.0163183349825856
0.0661711026715306,0.0148176214769745,0.0160573582119571
0.0620026559534951,0.0156860371839898,0.0164050491184877
0.0611964490425766,0.0149338635067956,0.0148513932484605
0.0617054083609704,0.0152554524460101,0.0154182234204007
0.063219261343976,0.0156526499228823,0.0157259392520756
0.0660805916591746,0.0153940387115673,0.0160644613246195
0.0631819819197635,0.0143958808910373,0.0157737980260558
0.0636079008435764,0.0151154037106314,0.0162829929461861
0.0632374846787042,0.0147649780406031,0.0167149374742641
0.0674991579271558,0.0147938146920495,0.015779213454851
0.0624460236824965,0.0155538062855522,0.0157802288844413
0.0642314310553726,0.0156265086114189,0.015415356669668
0.062201296814144,0.0148083509101236,0.0156459833654998
0.0648135360602379,0.0155739545938422,0.0168842172714255
0.0626767274718727,0.0154104668909321,0.0169699440907939
0.0639578604083991,0.0155899515463961,0.0161333754099483
0.0657735033594484,0.0157223686379272,0.0158219319642106
0.0638763007676207,0.0158802527014366,0.015858283111617
0.0639145417373745,0.0153653452723947,0.0154403306894667
0.0652565247709534,0.0160395393175262,0.0160432437783817
0.0678567202673019,0.0159138916676378,0.0154278109460068
0.0603882889179774,0.0161163143182951,0.0168280454011179
0.0651163099901114,0.0159069642349683,0.0156046905038533
0.0631064381049717,0.015282018172737,0.0156883737234932
0.0616501191524834,0.0156027346266186,0.0161056140569496
0.0659464458870117,0.0152204294826005,0.0152367774488639
0.0620973606964071,0.0157500390038895,0.0155815675049612
0.0666537875184968,0.0158946358989096,0.0167871997231747
0.0619528847621492,0.0149470364779137,0.015680201222795
0.0676107328663801,0.0160024198905346,0.0160698140383366
0.0603885038397066,0.0154574976910974,0.0163017618852958
0.0644351002629087,0.0157208655325246,0.0165148538797477
0.0611128441623461,0.0159500202585203,0.0166298168312508
0.063691366403989,0.0154745059728478,0.016159235888178
0.0623655052065031,0.0142747264375689,0.0158149566855725
0.0629958184091386,0.0156152255205053,0.0154060420025349
0.0641214962769244,0.0151115172236945,0.015506803991189
0.0642379557551193,0.0154331284805276,0.0153475519562176
0.0609272696132663,0.0160776736508882,0.0152424314770972
0.0620771141798376,0.0151909015080046,0.0159273289977722
0.0612671118448052,0.0146746414722663,0.0152496911240994
0.0631738776839885,0.0153339738969749,0.0158027910217597
0.0642413672222143,0.0147457342855975,0.0154795450728828
0.0636597646930125,0.0156293783391306,0.0164917239191884
0.0632819320294204,0.0147701471032365,0.0155227402364684
0.0651106868483454,0.0153663886655639,0.0157951840673428
0.0622798966681471,0.0151711503109158,0.0158732599052184
0.064862295730715,0.0152241396967955,0.0160062462719689
0.0653352134650112,0.014884995346715,0.0161528923855318
0.0630141336792663,0.0154926942704079,0.0154410748024882
0.065549614068901,0.0152866544668415,0.0158348392547785
0.0618600948734098,0.0157964523294719,0.0165701988180169
0.0648173021885742,0.0147094655985854,0.0154725827662432
0.0648634290276935,0.0157087544916258,0.0161159214701352
0.0650991182978074,0.0156035207861853,0.0168060443994221
