"alpha0","alpha1"
7.05122361155123,-1.68745402525029
8.90270486969921,-2.14673881687185
6.87736434933388,-1.69089645183345
6.35684817822345,-1.56727958400391
7.19689174692544,-1.67090352819343
8.53051529345149,-2.27214485882048
10.4687210822822,-2.83428126476009
10.7918095368804,-2.57079513204867
6.52756693293688,-1.55796050788618
10.5969947336965,-2.61851035398379
15.7314980551268,-3.88411410284069
7.87125663909401,-2.01499140665633
7.73058143428801,-1.96259753601456
8.85100260389538,-2.23175772431222
9.93605836832157,-2.81676561618166
8.71638480790976,-2.16729933668844
7.51978697002414,-1.79840529012277
8.09753552022898,-2.00769473828551
9.37680619315702,-2.2554102376543
16.2140483220995,-3.77299409257962
6.07414716465469,-1.48057112366178
10.6127966744432,-2.60260891572646
7.64668988193459,-1.80218749695081
13.859430171989,-3.67677500381995
7.58866036220435,-2.1226744469143
6.35094672232906,-1.68447878613723
7.27958588019774,-1.86559612477114
7.13860024119,-1.82511021917541
7.90662991944857,-1.95081447290452
7.38868304287601,-1.83396223145833
9.04494499865498,-2.24985798970715
5.80707030888079,-1.44156885311225
7.14207079689557,-1.70944869023537
9.17165796318081,-2.36895422605579
8.51635083478532,-2.21927486019297
11.251685824073,-2.87944410770435
9.16125106950512,-2.26254047897891
13.4344848491828,-3.37110547598104
7.7779944078913,-1.79625647628037
7.19168430830177,-1.70617480783426
8.334400911171,-2.01039696318995
6.82031863459937,-1.67600840046097
10.0429448896804,-2.51858694025879
6.96284854128808,-1.72721256736318
10.7409106096275,-2.79433723090307
10.7088787823509,-2.80008631579117
6.55805119531475,-1.86412720596146
6.03918974365634,-1.45717250536361
7.38617267767513,-1.83404157537435
10.0351365746906,-2.62693570795722
12.0021642618447,-2.75407476478429
11.0011768175459,-2.72638837064494
8.25023236644681,-1.98958511273048
11.1437750113677,-2.67313795568034
6.67561834958589,-1.70174483892228
6.87830940085642,-1.73341265479429
7.12876001948588,-1.80129327061688
10.2977565647549,-2.63013710969064
6.82695372223905,-1.81741214030774
11.3043175353553,-2.75517739905079
6.81246263002603,-1.65259298375453
10.8651738329283,-2.83783685138509
7.35194021650176,-1.81218504207121
7.01250265754399,-1.80914204551814
5.70739342610051,-1.49905571899174
7.27307388178272,-1.7992208009924
5.2158547123497,-1.49348055412852
6.56521012200064,-1.70758539515281
7.22203366349538,-1.76572264807426
8.12981558430094,-1.9769848330734
9.30803583299996,-2.22876326964488
9.82197196433585,-2.271733783303
11.2741148919453,-2.78666015128417
8.88048447448484,-2.19108300392386
