"","id","alpha0","alpha1","alpha2","gamma0","gamma1"
"1","11542",4.16243815273485,-0.0495819151333326,0.000252354235563106,8.63825728423328,-2.11602426434904
"2","11960",3.38420513115471,-0.0490970762106815,0.000243634035995805,11.1200832945763,-2.11602426434904
"3","250009",4.44839645806787,-0.0462438917114438,0.000274195784248098,4.14049890407576,-2.11602426434904
"4","250405",3.70655153384884,-0.0446429729036309,0.000285174955668711,7.34468065137808,-2.11602426434904
"5","250422",4.20469552560753,-0.0550095823683811,0.000236591213588654,9.79050362047164,-2.11602426434904
"6","250642",4.29838952665379,-0.0490062563646092,0.000262419045450959,12.3098273722233,-2.11602426434904
"7","250708",5.06513652396491,-0.0477397425779183,0.000288728845597673,9.95942914388067,-2.11602426434904
"8","250723",4.64642663576685,-0.0465581834937023,0.0002141368236609,5.22642095880497,-2.11602426434904
"9","250736",4.55819477409596,-0.0466211316435959,0.000257902335254277,10.6921761740244,-2.11602426434904
"10","250858",4.77871517426782,-0.0490645143758395,0.000258586195091258,10.6188925046865,-2.11602426434904
"11","250861",3.90821273896153,-0.0452774227327144,0.000284735045927762,4.55613387843901,-2.11602426434904
"12","250866",5.21811913188645,-0.0515994233823094,0.000210356355197157,10.8326037933325,-2.11602426434904
"13","250867",4.64908916269218,-0.0561296771137393,0.000229516833025046,6.30598775827455,-2.11602426434904
"14","250869",5.06475742280906,-0.0466567237175636,0.000264297524479997,12.929058667626,-2.11602426434904
"15","250911",4.76657996187081,-0.0377052193936767,0.00031430767531704,10.8776765373336,-2.11602426434904
"16","270686",4.46293904316696,-0.0485854399604339,0.000222829474830524,6.3876110779082,-2.11602426434904
"17","271760",4.41069393251023,-0.0517328744078051,0.000289908617085147,9.68456297500139,-2.11602426434904
"18","271762",4.25526050327679,-0.049480469487151,0.000237944588926265,12.508805126548,-2.11602426434904
"19","271763",4.01428010465798,-0.0507426459355571,0.000248622610501218,12.1266162583638,-2.11602426434904
"20","271764",5.01588577703889,-0.0500980627587264,0.000243556348300537,10.3069344069415,-2.11602426434904
"21","271767",4.63597864327857,-0.0485097339593209,0.000242349459886368,8.69496824579096,-2.11602426434904
"22","271768",4.68272587172634,-0.0515145390585264,0.000242559117882045,12.660196722823,-2.11602426434904
"23","271773",4.79687932948396,-0.0363846027548274,0.000314697467746978,5.82704083618152,-2.11602426434904
"24","271775",4.35361797584802,-0.0523597067795497,0.000250178461720731,12.6851699315721,-2.11602426434904
"25","271777",4.82491948695319,-0.0495681327526843,0.000260422011670694,10.2525580745772,-2.11602426434904
"26","271778",4.55860001904986,-0.050706688263603,0.000222269239069262,12.4485052665515,-2.11602426434904
"27","271780",4.83354720946721,-0.0549424817153942,0.000225713623521274,12.8504989101207,-2.11602426434904
"28","271783",5.1225884698259,-0.0404194656332752,0.000318808202082062,7.66374523085336,-2.11602426434904
"29","271865",4.31257755226745,-0.0527370945099222,0.000233783029448899,10.3058662885965,-2.11602426434904
"30","271897",4.57844101555494,-0.0527390207681309,0.00024351180732174,8.98669420191807,-2.11602426434904
"31","271912",4.4186888489235,-0.0513797423285309,0.000245842052182757,12.5052891301948,-2.11602426434904
"32","610185",4.20033322410365,-0.0515110419507334,0.00025372295102211,9.99522330543964,-2.11602426434904
"33","610282",5.29997860238656,-0.0496837375407122,0.000275840088742566,8.43354487904898,-2.11602426434904
"34","610292",4.47621065420404,-0.0513614071872937,0.000212619248813018,12.6851564961436,-2.11602426434904
"35","610324",4.5017651419221,-0.0519202440458694,0.000259281565889095,12.5673351004966,-2.11602426434904
"36","610330",5.37567516912691,-0.0490309948510268,0.000262227856125217,12.0625557429425,-2.11602426434904
"37","610336",4.20968439003459,-0.0539887986196172,0.000234040182801348,9.75632873634933,-2.11602426434904
"38","610345",5.09531158693664,-0.051716990450233,0.000199367229885674,8.93270634131361,-2.11602426434904
"39","610363",3.92985035402265,-0.0501925374906781,0.000227083694554778,7.7874170063043,-2.11602426434904
"40","610429",4.50142777625326,-0.0469630713595151,0.000328700424335812,4.25840186200831,-2.11602426434904
"41","610434",4.48463021509132,-0.0450783870960947,0.000284884174721781,12.5396511322409,-2.11602426434904
"42","610468",4.73034258957513,-0.0472389938871143,0.000260583644122756,9.99612152225645,-2.11602426434904
"43","610470",4.45088760315289,-0.0533728635806691,0.000228662153154035,12.4842051331252,-2.11602426434904
"44","610471",4.71344563416408,-0.0503087150292084,0.000232885886604473,9.14597284125999,-2.11602426434904
"45","610490",4.96702074141058,-0.0485955869606264,0.000254340418309452,13.2090842636246,-2.11602426434904
"46","610500",4.53995038848237,-0.044101814202529,0.000283590349867751,9.4542838009236,-2.11602426434904
