"p1","lambda1","p2"
0.237648305975776,0.0699071162492126,0.0608873311017647
0.227851395796642,0.0647359325893066,0.057122299799234
0.235950892554794,0.068346459136933,0.0641566649235668
0.0098782604888015,0.0135580148933034,0.00981300257367785
0.00701710148181915,0.00767010746966862,0.00988452895806878
0.277088711353091,0.0729184132823172,0.0604512981596831
0.222579530572199,0.0742144702579344,0.0564352301528257
0.0100435097640943,0.0102573971405851,0.0143436338041864
0.00695748948444746,0.00718155124278122,0.00751787234362904
0.230553393563805,0.0735318863270345,0.056466524037399
0.0165830315572724,0.0153095870942432,0.031895942999989
0.233176568091757,0.0809490849486166,0.0564373326364397
0.00948643026768404,0.00880344409902603,0.00922756419948838
0.214836428198009,0.070883251757793,0.0556405969635868
0.237702499199011,0.0623212447348569,0.0632674184741347
0.194719517450555,0.0673507569565742,0.058234028785757
0.202140890539042,0.0751406046122231,0.0600369458929881
0.223433846868528,0.076323975790955,0.0589267545412683
0.211822214237055,0.0776853663359321,0.0522511733791885
0.23986619351853,0.0590012644268414,0.0564992816678901
0.208244460958603,0.0773485688886633,0.0562434349699762
0.233677241687993,0.0744283350397013,0.0506170975963573
0.0123418538174779,0.00612854392665214,0.00730957265468957
0.218544277999003,0.070336823472849,0.0625199927012566
0.194175965625517,0.0731890787579234,0.0561737768950074
0.23714740398374,0.0811477772339838,0.0584992039197762
0.207345581323562,0.0662236746794949,0.059571233340932
0.00628624885898006,0.00619289037085693,0.00681282512453652
0.00652252681220925,0.00630274332969,0.00787881039530134
0.216080730934659,0.0772361906426467,0.061038946349171
0.0113238778029566,0.0138585167713562,0.0214441140514543
0.00955222019452048,0.0430590950257019,0.0107611304997673
0.24604589371938,0.0664274675577642,0.0632654093110932
0.213073460129878,0.0821822482703709,0.0501007856957165
0.0202502611444316,0.00819141433011517,0.0171324314480143
0.230319456049652,0.066594568425473,0.0531670944079951
0.214543105166774,0.0800663001493931,0.0633889323143122
0.281829651919937,0.0648006167092776,0.0651402280833725
0.202769417241517,0.0736466278600288,0.0564555996014964
0.202186765082879,0.0655844376156664,0.0608314077508069
0.212123579485192,0.0785049370402937,0.058860379607906
0.221773146288169,0.0683854548336143,0.0603795026376743
0.00454709450852424,0.0044374613276752,0.00461255940291464
0.276759806134604,0.0634022039533532,0.0548426676181935
0.262327434417761,0.0761618926668447,0.0537925441561408
0.0046860131617111,0.00480425714506291,0.00503338027178939
0.206949696881344,0.0690705854490697,0.0542776692807078
0.230294630145146,0.070864070612336,0.0597458299605509
0.245691796494032,0.0619304438873176,0.0581895443654556
0.00987251966691527,0.0106901137781436,0.0149985164257802
0.210370758563683,0.0790166692006614,0.04440447978794
0.0129958560704748,0.01534266369945,0.0167771336448912
0.234667886639971,0.0744834349783846,0.0587492245133312
0.0111631697179388,0.00722262801636899,0.00833672656572667
0.00638878023233229,0.00639608002750379,0.00739453605801887
0.220818123603796,0.0733246980263527,0.0547328246412386
0.222415048435731,0.0657625330609345,0.0563220513558716
0.206743726411243,0.0745207494255043,0.0624159556468095
0.225067490942089,0.0722049009465574,0.074698933378882
0.0127159881435765,0.0142259821611017,0.0300712319625563
0.227686487662734,0.070770669053036,0.066289409760017
0.219105169989181,0.0652107989531406,0.0542517146549934
0.26408795279905,0.0756528983086001,0.063622167885476
0.241358012634298,0.0686142702683243,0.0517280756467623
0.211899856980746,0.070510838851291,0.0515240408664214
0.201653836981845,0.0688949518233749,0.0499584326878983
0.0046325897710854,0.00464497090037752,0.00525806933143217
0.233034509067554,0.0782609319644469,0.0615916513863649
0.244697844836451,0.0665922622130008,0.0594589523507801
0.236329345919884,0.0675502310998101,0.0534100414570333
0.0118386158501608,0.0144129761338455,0.0126767340597223
0.24721459454911,0.0683013060642489,0.0578618985747447
0.26366667453764,0.0588780750802191,0.0677799798916081
0.224763144391583,0.0715649309592841,0.0551037515822071
0.00407084106421976,0.00383932851283419,0.00447851568418171
0.00401706814169628,0.00410481722237653,0.00429947765925873
0.201550491713193,0.076375609415877,0.0519572053809652
0.220216107569889,0.0765248224450387,0.0602163521331295
0.233233645051044,0.0776774744538762,0.068292773271619
0.203244241919393,0.0638497535102958,0.0523169137824015
0.00475862243537324,0.00439995010228175,0.00704368198879885
0.202801791312626,0.0752147781198968,0.0605698257715861
0.2561780469027,0.0568306371506917,0.0654338190752114
0.222894675331761,0.0703363886577779,0.0613628855232421
0.0120402675481929,0.0135643243424604,0.0174419465853185
0.235299596724066,0.0621379516976646,0.0588061792868446
0.267485860510582,0.0595427629062353,0.0660074042933177
0.00898274216912834,0.00886544626264,0.0101088306937596
0.00510412221215318,0.00510887057628437,0.00531666349711857
0.217845777481598,0.0778842785182179,0.0672890449052559
0.00677899733907144,0.0063078028331849,0.0103567486325267
0.232124732173321,0.0703506789359715,0.0576429020429531
0.222530335547762,0.0694458773358322,0.0511966137184686
0.217044758879995,0.0588539251808403,0.0527436823076262
0.00486449938956059,0.00514529579626516,0.00570572009660631
0.247476516447351,0.0720596658735235,0.0609590538342203
0.245677530255258,0.0785975751747843,0.0605890668702095
0.193043286493749,0.075942274565808,0.0536731553598802
0.00633921396227316,0.00771542564969637,0.00873407609219715
0.00790573524522243,0.00883177849946866,0.00915181381685551
