"beta1","beta2","beta3","beta4","beta5","warning"
4.10311211931538,5.82776275357979,2.1649262447058,1.87256724905558,0.382666331861115,NA
3.97659490246772,5.73613941679876,2.10188413873172,1.88864694710899,0.4010538940625,NA
4.04942758119455,5.67182871918347,2.09006371672275,1.85052177560538,0.370099897600086,NA
3.87938324769831,5.75281695134101,2.08249845800453,1.86542987673378,0.355057240640946,NA
3.97771707990546,5.63054185133709,2.15454899050198,1.81814192847398,0.340794946027889,NA
4.09138460111471,5.7987318424689,2.11143052859365,1.92673524306725,0.421388162415221,NA
3.93166040056222,5.83423737046893,2.14224237519025,1.89587471429354,0.363455306904476,NA
4.0208148603297,5.74650656852222,2.12682525323823,1.89186971635534,0.377210098095003,NA
4.10131077925686,5.64917621312952,1.99804048773847,1.85851393938068,0.362258956526968,NA
4.01471244869592,5.81453738258515,2.14190300494112,1.95378934984174,0.449952959129578,NA
4.07106638622071,5.71056940264224,2.15098181762508,1.85878468847769,0.382901184130245,NA
4.01198472210675,5.80304804172649,2.17667946548499,1.83781498315814,0.355522211958001,NA
3.92395662852624,5.66721004542265,2.13935489309865,1.89841389971435,0.40069912033392,NA
3.95116024731424,5.84805208397188,2.23673111099429,1.84868758043979,0.32834405209348,NA
4.00964982153927,5.72815764127937,2.1482581894842,1.87426210982743,0.393793306273773,NA
3.92384178391305,5.70997426604225,2.03665256274492,1.96083599508285,0.468757428467899,NA
3.91791209332893,5.83522256262419,2.12713021680733,1.97868858240158,0.389935009797233,NA
4.00821021861119,5.73525733830657,2.0769208537736,1.94661181552264,0.434969271997962,NA
4.07173327958879,5.74744589358588,2.15656449417906,1.88336672108913,0.383992519461388,NA
3.93601960283916,5.87210372025021,2.110205315398,1.87100830071648,0.337850891997249,NA
3.97159756239934,5.78950955338449,2.20705911635105,1.87193425527427,0.397810596922565,NA
3.86478326798374,5.5849168257878,2.07975309624402,1.8548058579167,0.377664127681634,NA
3.94050993192301,5.5698070880997,1.93844772788807,1.88928236471129,0.426294864425032,NA
3.97564968711223,5.87854842399311,2.13447760203452,1.9046704917919,0.376861404468329,NA
3.92232484759597,5.80453103153568,2.1165185771731,1.90676176617211,0.408772332346684,NA
3.78236072208738,5.82055328049269,2.0794469374181,1.80172084784947,0.283154713250164,NA
4.01631421545166,5.66026748967178,2.18291106058506,1.89238149689307,0.416245858121545,NA
4.01384588513356,5.7703082856079,2.12988492037874,1.91909912562147,0.410825468631158,NA
4.03333945335628,5.81361747935618,2.12712156835809,1.87811491440197,0.365390760536392,NA
4.08186740750291,5.60436371866711,2.02992551846321,1.91180137661085,0.421179505800483,NA
4.02319839527137,5.7696073012202,2.1305140999298,1.92110017255492,0.385799857136656,NA
3.98703404936555,5.76589070655721,2.07874372562855,1.90538399343836,0.388102040955181,NA
4.00015785215061,5.791271170787,2.10340212009308,1.89653991003177,0.421797512935521,NA
3.85343461809583,5.70557191587329,2.12757390949686,1.87427089931085,0.372440637685705,NA
3.74855232181099,5.90259325585255,2.19336351652824,1.82374515953233,0.277587018785527,NA
4.06810523849404,5.6390940473027,2.07593113463402,1.91298740930543,0.423136854061618,NA
3.87974500677284,5.75187471620099,2.10945787742283,1.93827752972845,0.44527180140124,NA
4.0412940818692,5.75156483027901,2.16455502286103,1.90396917303646,0.398847798131683,NA
4.03266161992923,5.78479895000787,2.09734879748689,1.90049161818026,0.373962146520671,NA
4.04362455593837,5.73465502847576,2.0490174047996,1.94351932083995,0.419362625819861,NA
4.07232097373213,5.69485068396706,2.06029839498937,1.90361794897233,0.383359864193037,NA
4.10928114444638,5.85591380582064,2.15264249608631,1.95463859209098,0.403590251002296,NA
3.95606251549115,5.7734547426093,2.16197039680927,1.8883484849318,0.383556107435715,NA
3.9813033658341,5.68646569133797,2.15633827453506,1.92909644842517,0.424282140895012,NA
3.95166834829194,5.89062430234222,2.16644300297821,1.90559564828476,0.387028624598825,NA
4.03511759710576,5.70714807683533,2.0883241191523,1.92768480477533,0.42125356803163,NA
4.02979284514142,5.73126603696474,2.10436529163234,1.89485545472218,0.418788457645964,NA
3.98212098277276,5.72487913081624,2.12137302304375,1.88635448867601,0.39330135614484,NA
3.92015011123943,5.70249182343837,2.10588627796647,1.86414744627153,0.353422008204046,NA
4.00052589752328,5.66519612330547,2.10367054624508,1.89137833563968,0.396355892422964,NA
4.03879036201104,5.86350753783712,2.15270832207719,1.90369511170114,0.396377409007501,NA
4.00109173758711,5.72536699911714,2.05790767660469,1.88570828076932,0.392725075302967,NA
4.06716602796468,5.77286122760081,2.14790986797933,1.87962926121928,0.359230940140414,NA
4.01567495598295,5.68675402981199,2.13253680435473,1.86661087659587,0.374342948266696,NA
4.01998324337881,5.59220529156201,2.09699070443535,1.88223568825772,0.393807084686461,NA
3.87970544978779,5.69542026530145,2.13610897589889,1.93354783414301,0.417836213037923,NA
4.01470021715601,5.79869107502491,2.17206537715959,1.96562734107749,0.428758775835872,NA
3.96153788429494,5.91043344332777,2.22114778975292,1.87731677398478,0.37358568635261,NA
4.09658009077664,5.76546867133801,2.05478631818312,1.90107984310949,0.420224385468756,NA
3.95540129623013,5.71329297367503,2.10726391239908,1.91581735705867,0.396986506426382,NA
3.97910496116306,5.68069576522436,2.1272056227227,1.90907089305102,0.410589119130333,NA
4.01109964342981,5.66523231514048,2.09853500633247,1.89494070431093,0.399812814098655,NA
3.85464477447854,5.82694954328334,1.99835161942215,1.899618142981,0.381164417037864,NA
4.02957432556082,5.72984005703685,2.11531627342294,1.91489068633187,0.407098281116926,NA
3.96318582471205,5.71759153813214,2.07128333323059,1.88573816833109,0.38671108060875,NA
4.07446682477958,5.73924472610696,2.08218788373474,1.91835271002551,0.441238781839761,NA
4.01930217750402,5.79122391937365,2.08714992153251,1.85359477791231,0.355680459838126,NA
3.81419061675832,5.77873118748799,2.11077671023143,1.85915582860314,0.355446763299603,NA
3.99999763352186,5.78003578298352,2.04619925612649,1.9062541839629,0.407430918217575,NA
4.05445500784816,5.71382072725055,2.14090095607435,1.90412807570489,0.44820250980646,NA
3.99642449432908,5.7939158509868,2.12437904214078,1.84720174574996,0.394122949779229,NA
4.08481575593655,5.70931001776156,2.15549219874253,1.92561193724266,0.403952504149074,NA
3.89996817365844,5.72243506553765,2.15638541855033,1.85882443413484,0.381637286442633,NA
3.98368411075315,5.69923390891472,2.11918536850243,1.90879849409372,0.3713785777288,NA
3.8744237877415,5.73508589748692,2.09673027208741,1.86905547492203,0.354580924427219,NA
4.01001293603102,5.77143177655518,2.15009555415013,1.90381462204885,0.357515396731236,NA
3.92604206231215,5.76044736079655,2.10353155893544,1.87746237102977,0.360683034514298,NA
3.90662429349438,5.75370368603584,2.12192535975042,1.93823971291751,0.415108541435239,NA
3.99362163330082,5.68928342655039,2.09268192077308,1.90243484340334,0.40391933791029,NA
4.06420187619636,5.8041287289359,2.14475941217256,1.93967456807572,0.403208735071187,NA
3.90590469828848,5.86944546763053,2.0325774253667,1.91221774389094,0.375934752191661,NA
4.00666528585144,5.82340901709749,2.1328628454981,1.88362087942924,0.332241689921647,NA
4.00031924889692,5.7052336164773,2.16115763563757,1.90384204607102,0.419606461747815,NA
3.97429291111525,5.71732947243983,2.12024369032502,1.91299408441361,0.431203690569181,NA
3.97163021946241,5.68747134628988,2.06697470278753,1.90074607073193,0.401615634600175,NA
3.96265487840221,5.76259232813295,2.10574406044106,1.91327312926552,0.380084003044457,NA
3.88890706630225,5.86304748737005,2.19120090782577,1.90533322624509,0.382666666723235,NA
3.91120450580893,5.75297165796196,2.13729124071694,1.79146285291591,0.305078001053864,NA
3.92402446889697,5.80433510514688,2.07555147172857,1.9284978555674,0.381543803857405,NA
3.95951066953262,5.82340624862372,2.1070327639342,1.93419816826527,0.402826966986337,NA
4.10633115973949,5.74881147481047,2.1157297624177,1.89640837121338,0.409971398847376,NA
4.02230761943636,5.72117820073808,2.12613561032875,1.92138752852168,0.399583693724293,NA
3.96658281725356,5.72640240299666,2.12686086598901,1.88249598948367,0.386661581045969,NA
3.97960168523487,5.75519397194909,2.20102156891405,1.8836434451658,0.333347270254423,NA
3.98427133424871,5.72725100882162,2.04746057377847,1.90981495647963,0.406693033692407,NA
3.8797936512119,5.7488763068745,2.12683196086368,1.86833071050057,0.341599305737554,NA
4.04025816265288,5.71743868379551,2.18302862240588,1.91221107004894,0.397635894829817,NA
3.91664383323584,5.7303736198109,2.18046810406273,1.92142935092374,0.434388764177262,NA
3.97915545566375,5.72044463871618,2.13053704070787,1.87979730600789,0.377974361696659,NA
3.97877084428188,5.73428587540532,2.13127732978759,1.91813241870081,0.398593536115303,NA
3.87488276209684,5.75270402392363,2.10863625428061,1.90310403936828,0.386167439986157,NA
