"beta1","beta2","beta3","beta4","beta5","warning"
4.12606546068227,5.6943743501423,2.11008504478698,1.87541034332284,0.403431571863248,NA
3.98702982140256,5.64581865459243,2.06462416118249,1.88475166388841,0.408854566760308,NA
4.06471134885918,5.64681089332653,2.0805003785239,1.86420856002167,0.388716301115007,NA
3.8958769731545,5.71166935155583,2.06725888433128,1.87613833767419,0.372790026018824,NA
4.00629311510402,5.58990884407798,2.13941349881544,1.8395703694138,0.372553824477863,NA
4.10308569181667,5.72657494687972,2.08166908933664,1.92928611379347,0.432972413729349,NA
3.95145164620515,5.74580288590303,2.10635605143005,1.90289389595997,0.381842274938522,NA
4.03020391113734,5.70762372323376,2.11065300592179,1.89600769006572,0.386525703995827,NA
4.11230310355464,5.59942307765342,1.97834626957103,1.86159268066328,0.372864611378189,NA
4.02414991737071,5.73971889608575,2.11069700318826,1.95308747360809,0.458280423957271,NA
4.08009862187031,5.66741655046437,2.13294246884154,1.86141980800495,0.391605961334582,NA
4.03229686850158,5.7156721630485,2.14083336263981,1.8442243581573,0.374334696848354,NA
3.92819167038734,5.61492283573554,2.11652310712685,1.89429119852403,0.402486203555711,NA
3.98096353475712,5.75280221302487,2.1976121864485,1.862009670699,0.356128987298255,NA
4.02603668338613,5.65536913707969,2.1187233120252,1.88010838613665,0.410124132648453,NA
3.93175689624585,5.62739730225479,2.00231392485728,1.95577379691732,0.473555323208369,NA
3.93590479236066,5.76390475419189,2.09887357863408,1.98905301489778,0.408828659001507,NA
4.01846248961321,5.63189258750083,2.0346894641621,1.94087391852128,0.442565624870732,NA
4.08256145833431,5.6908830671775,2.13261857098095,1.88641336612537,0.394059234996117,NA
3.95050013403581,5.81795373444421,2.08865061845005,1.87713229498164,0.351141131433736,NA
3.99516961519286,5.72776398564333,2.18376241259592,1.88913234815053,0.426194078640906,NA
3.87898127170113,5.57362950047862,2.07735237162094,1.86842361897272,0.395720874185505,NA
3.94233091134788,5.53807519057855,1.92449038650778,1.88559750302212,0.42541109460954,NA
3.9774695695891,5.89048175739082,2.13963432612289,1.90887983924108,0.379928803737954,NA
3.93824478239648,5.73640124767003,2.08933640638018,1.91536066401185,0.426672423600827,NA
3.84703898983825,5.71548878038305,2.04137820728047,1.84100932588482,0.344037205259616,NA
4.02404901015781,5.61556336534434,2.16380005366509,1.89384453557944,0.423979614280005,NA
4.026239738828,5.64512047391108,2.07695335994531,1.91291643788816,0.419670105074972,NA
4.05737886008542,5.7131203181317,2.08731399240227,1.88721405266104,0.389126362369097,NA
4.09121822359667,5.58262749757648,2.02183816428807,1.91947142968274,0.432446103980446,NA
4.04168505902265,5.7105912795989,2.10794412829538,1.93267585486885,0.406576493874665,NA
3.98937804451787,5.7443539865771,2.06851250435609,1.90559711594864,0.389767075956601,NA
4.00666216754309,5.78398745711871,2.10058406587724,1.90393265446598,0.430447180067465,NA
3.86688388880795,5.6552994746315,2.10781538480205,1.88105873116663,0.386725745402496,NA
3.80927229809273,5.74699686402541,2.13120083682841,1.85157920344089,0.329692040209296,NA
4.07685220994589,5.58237673558915,2.05236668131763,1.91292727466359,0.430648793050016,NA
3.88511160362674,5.67709168562978,2.07778427602054,1.93192790857051,0.447364196868143,NA
4.05034251372409,5.72686304875695,2.15473585166939,1.90990642669716,0.408550744936017,NA
4.05088085392049,5.74711013491643,2.08422157237112,1.91446207660578,0.394879798655148,NA
4.04809652642178,5.71550562527457,2.04111381208823,1.94610477971278,0.42404905636121,NA
4.08766836556681,5.62997971853166,2.03575422827833,1.90874759118324,0.399014046229508,NA
4.11590587486474,5.78251276542431,2.12091438302678,1.95005402471656,0.406792790405392,NA
3.97405510378445,5.70661407931304,2.13510570885281,1.89668172416911,0.401808351021393,NA
3.99426886335145,5.63833271709629,2.13636127794146,1.93770810638592,0.43972612994317,NA
3.96856706607551,5.76398104011387,2.11426867245476,1.90443949897327,0.401031586600593,NA
4.04224924586294,5.64473312459333,2.06301052694842,1.92472482478995,0.426890619367055,NA
4.03705566474976,5.69541616067603,2.08975857619847,1.89812366250392,0.427256393722809,NA
3.99491621122647,5.63446126811315,2.08406064770936,1.88526863383294,0.40433566439288,NA
3.92723565164991,5.64139645073946,2.08015562433601,1.86161189743233,0.358203604036303,NA
4.011227464294,5.62420226981644,2.08727062389689,1.89601556954305,0.407180094892316,NA
4.05610198252365,5.79984971039875,2.12802606201082,1.91428999248215,0.416019530652988,NA
4.00711396350723,5.68981566154933,2.04329438136691,1.88665208179696,0.398200583121106,NA
4.08747343229876,5.72374435769179,2.12986774969014,1.89145098547,0.380235682727824,NA
4.03460579370546,5.66397150745714,2.12499561864942,1.8834938906919,0.397440849419023,NA
4.04378253131459,5.57068174526015,2.09119341215719,1.90750790117468,0.425918703482373,NA
3.88830257344533,5.66461598238369,2.12335192715161,1.94057108924631,0.428971254218583,NA
4.02984798628604,5.7473290975154,2.15201213151942,1.9763503076133,0.44657099626429,NA
3.98190988804336,5.80924778036202,2.18003096333038,1.8831473488569,0.393403642955211,NA
4.10572198094829,5.6651497100863,2.01355881798375,1.89372525160812,0.425891931555159,NA
3.97456664534357,5.61452623550752,2.06740061311211,1.92243657676499,0.417475891432753,NA
3.9957289337003,5.60573147982917,2.09629190992267,1.91704225889242,0.428777205170621,NA
4.02336968342888,5.59631858997985,2.07007291775398,1.8966539673454,0.411209175860082,NA
3.86431584054885,5.76045691175132,1.97274078800691,1.90086686700235,0.390200083540647,NA
4.04190023424256,5.64737720175522,2.08076101901822,1.91494817777165,0.417446880508045,NA
3.97664141494232,5.66016397322916,2.04923589982344,1.89148642206602,0.400963265342788,NA
4.07569941538781,5.73048770222081,2.0782264736784,1.92001961255277,0.443899332359211,NA
4.04033858459803,5.7438709588576,2.06993232748074,1.86882871424969,0.379319212954852,NA
3.8376478959598,5.72425912452363,2.09054239580385,1.87514924312769,0.380878288309327,NA
4.0129446922334,5.72698529765968,2.02560841502506,1.91230183580167,0.42087717833173,NA
4.05678392578676,5.64311753619308,2.10884289946319,1.89436813687701,0.4452599995302,NA
4.01134873210875,5.70473624072856,2.08772939330267,1.84884863231795,0.407509386056841,NA
4.10000167470614,5.62723704154473,2.12125112022386,1.92921711305735,0.418380243845025,NA
3.90816591485795,5.68385591591806,2.13990987345199,1.86246356600374,0.390513264847137,NA
3.99717575194355,5.64977175843152,2.09865402517089,1.91575330146758,0.384890023626462,NA
3.88482114938842,5.65707661361023,2.0640656572704,1.86754655961632,0.362743707335248,NA
4.02523630859198,5.75736407973285,2.14573312330449,1.9175508808964,0.374992305814393,NA
3.94182950047075,5.68385842025301,2.07225191468053,1.88276044255234,0.375731423430723,NA
3.92380202636052,5.70837765840121,2.10476233489817,1.95306942255609,0.436429089476923,NA
4.00928799876993,5.64177922900957,2.07500009155806,1.91289648721806,0.421989096624327,NA
4.07381331277551,5.70826299880331,2.10435832896574,1.93370460182105,0.408634720367408,NA
3.92035498990215,5.76876672904845,1.99247109396631,1.91316444940384,0.388088967849828,NA
4.03011904536217,5.71907965549186,2.09042620946184,1.89019871532074,0.351790533225117,NA
4.00931542932972,5.66212174304549,2.14339276427982,1.90778194677591,0.429923434531358,NA
3.97974549133135,5.68430354625466,2.10619261411211,1.91532570054667,0.437518083902989,NA
3.98293080687573,5.66387564698995,2.05885132559375,1.91031629589643,0.415898179460835,NA
3.97285710068394,5.68660553560455,2.0737607281879,1.9119297810812,0.387706492364379,NA
3.89915910284318,5.81206838920708,2.16980479264708,1.908449650192,0.391788311705791,NA
3.9552707405686,5.63847137378363,2.09255970317693,1.81141462222744,0.346125141364929,NA
3.95491536572183,5.7167555676777,2.04348251132185,1.95140709552249,0.416982626723377,NA
3.97292909440027,5.78437406576746,2.09212400547565,1.94423038208981,0.418081263570767,NA
