"p1","lambda1","p2"
0.102457317835796,0.024582747431677,0.02526999378884
0.103279972796912,0.0217327615385162,0.0242075609118314
0.103656696146194,0.0249201932332939,0.0247067285570357
0.105121697199111,0.0232128636421414,0.0261652905623507
0.0927393792209636,0.0234120906553434,0.0248670869177013
0.103804769110195,0.0253754214715015,0.0263535190981086
0.103719517264677,0.0246172226208222,0.0283798852083813
0.108120701380815,0.0255826894174175,0.0254666002855475
NA,NA,NA
0.102512358712382,0.0251118021613079,0.0253321676888264
0.10474300235343,0.0251359119949256,0.0258302033505851
0.100044543413847,0.023901698863072,0.0255367265779669
0.0978840400529564,0.0221393602186865,0.0250301523535447
0.0909911409118121,0.0230346894823879,0.0252946461842702
0.10410805187863,0.0251133121498636,0.0267934609032633
0.102291364141665,0.022896078432671,0.0249217261738569
0.107328283173518,0.0220542791804526,0.0247755769573602
0.101059413569954,0.0246427172655624,0.0241883151477085
0.106357810753152,0.0238126133914308,0.0276761480081573
0.103107686330382,0.0244448120388876,0.0226381075751251
0.109544779688989,0.0248448342496419,0.0252652977832154
NA,NA,NA
0.106456412720822,0.0263669359771932,0.0241496523265927
0.0952821469019673,0.0232780192001203,0.0229796289753048
0.105540934392649,0.0251135815475372,0.0255183565658598
0.103732841787686,0.0244509272488465,0.023341453843336
0.104332338926495,0.0238658084913165,0.024282800741174
0.10552363277925,0.0262588280197485,0.023326538041516
0.105154546545326,0.0227102093936201,0.0242381987343138
0.112908304736968,0.0256318705443215,0.0238049391868384
0.105900212678342,0.0236875381951001,0.0255864722098664
0.10341366520312,0.0260685360961785,0.0257309696946997
0.0977236393738709,0.0227610095344157,0.0241118496205846
0.105575495244892,0.024609981981396,0.0251201376125125
0.106108041852201,0.024415185046408,0.0255462421105463
0.101968957810113,0.0254637476077232,0.0245855370096672
0.100495581187986,0.0228324206042545,0.0239513640151209
0.0941865418799719,0.0246373993407542,0.0241165725806362
0.103620747716024,0.0261962147903762,0.0251172308617741
0.103546657288146,0.0246686729909479,0.0225489562579777
0.0983661578790637,0.0250693182191159,0.0245014461439444
0.100431827999472,0.0239362225111264,0.0258740743864001
0.101932262011911,0.0261577339240834,0.0240141280660278
0.102176885874865,0.0244757162806358,0.0247326424956738
0.109852647438496,0.0260776997895346,0.0249636827575366
0.104759077534138,0.026596896708844,0.0266094615496407
0.0965837693213267,0.0255895040032429,0.0266325696146723
0.0984013798680515,0.0235752396627101,0.0239096799340487
0.0901246224292503,0.0239904254161846,0.0253966392524213
0.0981963462920009,0.0248532185950564,0.0251377885980236
0.098578728362847,0.024283112961353,0.0267764981806376
0.0933012593721547,0.0276864017318594,0.0251575325846031
0.105519808641897,0.0279709743735199,0.0258392078253908
0.105347529312859,0.0242180606994918,0.0256666947170509
0.0994225784909252,0.024704615864714,0.0245070548919698
0.0951622923413082,0.0241259023534426,0.025649456687785
0.105898468957503,0.024172433511618,0.0239240733432417
0.0995757086778469,0.0251254639868276,0.0263968735452167
0.107892928063259,0.0260702236796722,0.0253485240976006
0.104527755963502,0.0236939723306503,0.0265325845448012
0.103725279663002,0.0237486791039067,0.0251512285659588
0.102984046724663,0.0255317231017162,0.0237991708142091
0.116021070965177,0.0245951653710885,0.0267335356047394
0.0959839878352624,0.0265912439550392,0.0244968033571021
0.105457299760995,0.0238247199520217,0.0239951183077336
0.106926061927489,0.0253979791907708,0.0254085159373166
0.100725559719005,0.0249047080139349,0.0260796915572052
0.0988324849288706,0.0263339435864174,0.0251458760387817
0.104363994643661,0.0254061185776298,0.0258326777946743
0.101196065106267,0.0248880222660039,0.0277193244572328
0.106337852790065,0.0237404204217935,0.0247251744501319
0.0953683673174456,0.0248501439458339,0.0258803400100831
0.102487317978964,0.0230360601798573,0.025580522724374
NA,NA,NA
0.101064285109861,0.0269485806397144,0.0266441533023766
0.100255985196735,0.024142271807323,0.0240410548521613
0.109830742643839,0.0255117503155998,0.0265166250816461
0.109739146468047,0.0228438804055149,0.0250661484523689
0.101050361224491,0.0231438226756092,0.0256391571544966
0.112296314568588,0.0250925002564993,0.0249398688210893
0.102724846417611,0.0268127697555556,0.0252219817482022
0.0942501430543421,0.023361214066398,0.0252719546845393
0.0991416641749237,0.0239307283067468,0.0247565558581346
0.102433203685943,0.0234069849317599,0.0236112123515247
0.103459442996119,0.0254537589124135,0.024460724145724
0.0926930043996587,0.0253895222615901,0.0249053465854773
0.102540941042058,0.0241421987419837,0.0264897085255867
0.0929682705192657,0.0251026470334189,0.0257019701720719
0.102401910697729,0.023872071986119,0.0259115953250289
0.100519424347389,0.0252972634477773,0.0251542257689094
0.0968047130118446,0.0266780210005347,0.02491228387508
0.109157636618706,0.026402858885974,0.0241743648639801
0.100270702693271,0.0237558022967252,0.022858933868445
0.101488215818179,0.0265371516550926,0.0230650958444255
0.099367909625299,0.0228788180288061,0.0260502995197176
0.0945496611801224,0.0253404896446343,0.0224592621700589
0.101745006016626,0.0234803830571091,0.0263181817598231
0.0973538467668189,0.0253067656997327,0.0251579082309237
0.096253120340135,0.02557201406497,0.0255661159256054
0.11706663955954,0.0268084606706387,0.0247670256445471
0.11256570819284,0.0222694227221939,0.0266575133553646
0.0990719990321644,0.0243844858377955,0.0263568299126215
0.105170932421393,0.0267177283949869,0.0237648745536445
0.101754970749471,0.0243083887904198,0.0250324657818066
0.0939281097212848,0.0247000764278358,0.0248846875409273
0.0959636401057858,0.0245065078041901,0.0260509623600529
0.104522355549209,0.0235153429380266,0.0270427265423396
0.101688666093482,0.025496083422419,0.0247512116094206
0.0986237006814703,0.0229203438994173,0.0259880223557702
0.103614098996572,0.0261088846659124,0.025140259753076
0.10271541951157,0.0264005025585189,0.0253680369390751
0.108289328841408,0.0250408376744387,0.0234673030152408
0.0985339442938113,0.0267630194185903,0.0245745778423423
0.0972260784727762,0.0253400247187244,0.026742596707856
0.112744435458588,0.0248167536857587,0.0266843428131798
0.0997658308364931,0.0256891073518118,0.0250759350007551
0.0981260880001807,0.0210978862112741,0.0252608763273419
0.10159621152465,0.026071052545811,0.0247072782532076
0.0962878932722771,0.0245120211887592,0.0259049425207125
0.0968252473842055,0.0240287852712138,0.0262390020866015
0.0932099399746565,0.0245759405877333,0.0238474587252637
0.0954815371652028,0.0251457902057683,0.0241857194797871
0.0997871830315059,0.0252998047901416,0.0256995358376624
