"beta1","beta2","beta3","beta4","beta5"
4.00483672064418,5.72912453248026,2.08974153222917,1.90055923622687,0.400046303668786
3.98804737897302,6.19350261974462,2.25099783960072,1.91685858555802,0.399411628779028
3.96892652191568,5.65742793356339,2.07933298940493,1.89384310389809,0.381829809088533
4.00634776058409,5.9113494025724,2.15704740668587,1.91927796228277,0.397546094316164
3.98756651777395,5.61942227451632,2.05574723416599,1.86836667208075,0.37995271732646
NA,NA,NA,NA,NA
3.62608417687205,5.67322476081286,2.12999305271379,1.75725467080741,0.124262642712664
3.98887605724433,5.628677827491,2.02074608774548,1.91192644985883,0.401189399511855
4.05306340602879,5.64543725066675,2.07502475572907,1.90145650648054,0.392046457701355
NA,NA,NA,NA,NA
3.9939250778168,5.67492172669711,2.09354685914658,1.91386030032807,0.421190774084021
4.03287729379417,5.85573472412505,2.17535983876887,1.91175065246312,0.402136631540598
NA,NA,NA,NA,NA
3.97824477430722,5.66203276436054,2.07276416991581,1.92656274700693,0.396984887247198
4.0046295078135,5.64002968178225,2.05845807280388,1.91470519227427,0.409300863986172
3.99560710707909,5.79154984235816,2.10869237435415,1.90784562690738,0.377677102046669
3.96469603144796,5.46597416591232,2.0313056939813,1.8931580448727,0.391288400012569
3.98242502469778,5.50029387162109,2.03144687800954,1.88359194609204,0.378550753168088
3.96424899436368,5.45377583047663,1.98956737036911,1.89471487795999,0.369579518125342
3.97563713058624,6.17116626482018,2.23988096021734,1.91775713438078,0.401623092084638
4.01334739160711,5.4996465909696,2.00900571974196,1.9012147307995,0.365659323962271
3.99108049776062,6.20109151560999,2.25827032763199,1.92499944860301,0.415737908302858
4.02245378754074,5.49056886635967,2.03056102127776,1.90352017373955,0.386725099578122
4.00425482278955,6.0601434114419,2.18236355423731,1.9120120461004,0.406595265786094
3.93961940161312,5.73361203710595,2.09484532302261,1.87998566687423,0.375975829251469
4.03231174976817,5.92504777261806,2.16214367957205,1.9063817387421,0.402625151406541
3.98289710226103,5.58408656647024,2.06320371847202,1.94606457553657,0.428146027538105
3.98978434966785,5.69616243463041,2.07876277408611,1.90379644324153,0.391791716439922
3.6699513261699,5.83821095586686,2.1226203286667,1.76336640642447,0.124487223040593
4.0016324641318,6.46131759460499,2.32259482243486,1.91239011955086,0.401547466564848
3.59969555553027,5.86251806986423,2.19481998380791,1.76151782734545,0.117601001609038
3.98935830789812,5.57908773826131,2.04416884681552,1.9011048271259,0.399551169889062
NA,NA,NA,NA,NA
4.02756265629769,5.46899158207277,1.98261289794488,1.87794763025469,0.407249674071958
3.60891902826981,6.09101908835496,2.24035742395708,1.77875766819967,0.111067889965365
4.04685655173087,5.53166803137698,1.99776302600284,1.93462328303449,0.416399562053462
3.95299178144128,6.05300696728642,2.19033214619034,1.94544702982308,0.415962393235736
3.94653147325071,5.46059569692818,2.0207874073771,1.92248002424995,0.382861232023446
3.97100728403514,5.94365214543609,2.17978862886207,1.91602759695901,0.400299036635605
3.66184002998269,5.83194927859878,2.15774535298966,1.78413428246374,0.142565172581827
3.96188561438084,5.69724950106649,2.09836304524031,1.8775316119361,0.391350001531722
3.99231388980153,5.56134329922863,2.04280818624308,1.89879375803101,0.397217158005838
NA,NA,NA,NA,NA
3.98800795709236,5.92067049496306,2.13691354637186,1.94667547313199,0.413259815228508
3.97479115529642,5.19939146498273,1.92215393981329,1.87254809133868,0.377861854330443
3.96443680818311,5.7338390812182,2.102704345016,1.87560741242435,0.365098583828507
3.980030514242,5.71834581901075,2.05906891884594,1.9099723630421,0.376732917590435
4.00773061167225,6.32559555629691,2.29536355449316,1.92133670121473,0.411385121561914
3.95505300269694,6.03163857953386,2.16498541447457,1.89215468116606,0.388107285902523
3.98580852770207,5.89930871889971,2.15664246779599,1.91842721383132,0.409817174175867
3.97625732396169,6.50023145554796,2.36231183273122,1.94696648417012,0.410652638516807
3.99157818243329,5.49067408184849,1.99853994233989,1.86726047851361,0.394349711775398
3.96164983539373,5.80458196387146,2.13123065436813,1.93780015919329,0.384304076155361
3.9558637206242,5.60570735180868,2.04738497554212,1.89780383417095,0.398449731884933
4.00781908192474,5.37658103189621,1.97173634277455,1.86673860750584,0.385781903503772
4.02553988111435,5.51365209226027,2.0047326433947,1.89305910685435,0.386498504552566
3.96733415695561,5.46750648262397,2.00984958797096,1.89328340319316,0.403856489479297
3.96362354813499,5.42525201456504,1.95734124583733,1.88257371831153,0.38872367982099
3.98854634674439,5.78666470228548,2.13757147640886,1.86740461602243,0.371795797977689
3.95840069908913,5.58311449048144,2.00237576366104,1.90279730352159,0.395646633690443
3.97994544697667,5.6199111878004,2.1010096910441,1.90995844753159,0.403705012224701
4.02160514968833,5.622440317426,2.06074288132049,1.91836680793715,0.412189053396155
4.0104036271575,5.83813787819492,2.13286188188694,1.93167796046842,0.426521937681871
4.01518994520999,5.48847372331785,2.01019824940528,1.88682631813669,0.375226162286169
4.00429057965675,5.76071228690479,2.11346364435544,1.88956830800659,0.396574738492692
3.99862008114501,5.86730012641469,2.1168373184411,1.92456767907936,0.401229413105751
4.03104220892137,5.64319410342604,2.02544127943057,1.92313309936502,0.388376646663471
3.96366738327861,5.52028004294992,2.04106522284665,1.86588047397588,0.378762195255834
4.00551688007459,5.52990737774883,2.02670272714196,1.90285439184995,0.387653425872472
4.01897290395688,6.19545445973274,2.29027220278278,1.93213449205481,0.404596158195618
3.96275231065121,5.765026361381,2.12520562726875,1.90465903697915,0.395953023690686
3.95297989245408,5.56117103758975,2.0160194846021,1.88334002374374,0.408457253218371
3.98962237136148,5.55065022644563,2.04890774266402,1.89207424338371,0.393501932068144
4.01078184308751,5.71410243443404,2.07815017216736,1.93417522198461,0.405446673514601
3.98627644619349,5.78207282739837,2.10538160902012,1.87926532806639,0.391957567063425
3.96283618699323,5.96789735065304,2.13925458124442,1.88969044239932,0.380164773320039
3.94582632579731,5.82611174243421,2.11116885063467,1.87002846312388,0.367226703528539
3.94563489960326,5.78469059455344,2.07790605424865,1.91080365335394,0.388369448115758
4.01076654199407,5.58760408225657,2.06837358423104,1.90109555564197,0.387619291644956
3.62555084310366,5.97839312730748,2.23014613890524,1.78442070680128,0.140002893221829
3.98036785791398,5.61337812581368,2.05640949231088,1.87388552413911,0.388096289231468
3.99496750857402,5.8401682160937,2.13510142820205,1.90692406838358,0.397888383026678
3.98453596349172,5.79116253169752,2.10085148334885,1.87894153830862,0.389596949479833
3.95341197076932,5.59561976600287,2.05770793041548,1.92439962942399,0.400985937716234
3.97939377709164,5.62360235440102,2.02424970996068,1.89512246986575,0.392396325920465
3.99725774324593,5.78523832898628,2.11904899853675,1.91806174565561,0.409162045247836
3.96533881037991,6.26146421100567,2.28524204715411,1.94158251889616,0.405864699980975
4.00136881017311,6.15502806987213,2.26333232352815,1.95256572129744,0.417292717722314
NA,NA,NA,NA,NA
3.97240450207804,5.76849943034339,2.13063287729877,1.89880609723002,0.377961164824275
4.01512297538077,5.70434956242105,2.08060862965448,1.94176388333235,0.39122721421771
4.00820708053687,5.45012261488968,1.94482486153936,1.88857238965356,0.379130053248787
3.96260983249172,5.88332647762383,2.11487356849248,1.94018760772182,0.391278078053094
3.98047974125277,6.02515945158606,2.17020711243433,1.93042091544212,0.389915623432833
NA,NA,NA,NA,NA
3.96192509274068,5.66606412014892,2.08690781187677,1.88435428738326,0.381588769189643
4.0149738050463,6.34122523571472,2.31005710085142,1.93143289135192,0.401348434682391
3.97254445134078,5.67331471456476,2.08262366742631,1.91372462566778,0.391281885889002
4.03184631161401,5.67799166883729,2.11173063709893,1.87349414028822,0.363782570605869
3.99226080858994,5.42104154704848,2.00241229510451,1.88968695372422,0.379122608790224
3.99673464149414,5.72861586792592,2.09863266091174,1.89724737788172,0.390575784626716
3.97576570821742,5.59852929591258,2.0628689525636,1.92427644958987,0.405941419025339
3.95473361581933,5.6957649158802,2.09726510012723,1.93301071071416,0.399318365292491
3.98809414422456,5.68294533848186,2.08021498209294,1.92245976203746,0.406093953375821
NA,NA,NA,NA,NA
3.98086969653716,5.62807343195171,2.05510186656616,1.89788717739188,0.373799150493645
3.95643952822372,5.5836818523929,2.04026194203564,1.92237745502507,0.401745690808614
3.99220103753776,5.47368812517172,2.0037191527756,1.90433586606709,0.381429923751776
4.00350550750536,5.53386760251525,2.02599577765732,1.89336764386521,0.388240088084246
4.03016103665635,5.60319406083245,2.03442241354466,1.90574092406467,0.395385439170965
3.97607071756471,5.80932456102025,2.11705720486497,1.88878816222569,0.385420186884532
4.00309997222645,5.78794034220605,2.08183720341799,1.92012730425545,0.385744345359182
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.91205922568606,5.48527387778192,2.01466296540094,1.8858011485311,0.379037124738337
NA,NA,NA,NA,NA
4.03940158955276,5.61420774683979,2.04872679198471,1.90855931266377,0.418941241196868
4.00455079434191,5.43073861154056,1.99154251841034,1.91383020027908,0.412975283733575
3.99166255260526,6.0558675080364,2.19555008837229,1.90537423106903,0.388184174901516
3.95164629640679,6.02659434809049,2.21514334942018,1.91669323576443,0.407091063849499
3.99288563288292,5.56478842333514,2.08929748004258,1.932956229757,0.408419884500012
3.96839227970637,5.61457904043285,1.99619894959135,1.90988462314101,0.392866082196175
NA,NA,NA,NA,NA
3.94742509451707,5.78797593066735,2.10736421878268,1.91451504160083,0.409372024681316
3.9993397705827,5.86215271027921,2.13934148192552,1.91233175383539,0.410337447933082
3.96279644583291,5.83414909790338,2.08602532063011,1.89958695316676,0.387497468973935
3.9958538958666,5.96782409832153,2.17980507427344,1.89510967967988,0.382672585828432
NA,NA,NA,NA,NA
3.98186530751333,5.64658420610543,2.09314605214915,1.87805281453522,0.369874723262676
3.96873130438231,6.02578257324622,2.17472606324124,1.9082409669816,0.405845404141785
4.005582863457,6.03938612608757,2.22019002449814,1.89220274333869,0.402064724242014
3.95108317419556,6.12209594679051,2.19726320285828,1.88784243053391,0.377071392918177
4.00591146364188,5.85402797649751,2.16938652472077,1.92071985946953,0.408640051071164
4.04099294499673,5.69401167146306,2.08462804572726,1.89265390820641,0.392627792109361
3.98730608206086,5.83628664581783,2.1264172511122,1.90154876435164,0.398556068260819
4.03693695922871,5.8904697592962,2.14821543391252,1.92558756334622,0.387952352478605
NA,NA,NA,NA,NA
3.98272296085216,5.43375772187795,1.96915469897703,1.87522675069378,0.405791618998967
3.993698575259,5.35393452413698,1.9441063996152,1.88792209099993,0.393544221430617
3.99454504581297,5.73782275391457,2.07706651443986,1.9017646452554,0.401968339148172
4.05824396043476,5.75527777702848,2.07692304372617,1.90626067496314,0.384138605632449
3.97011788425036,5.4096829778677,2.0020534889853,1.89452306853062,0.377141079380236
3.98955890866986,5.28652657003901,1.92080085843869,1.89647916251431,0.373465254519556
4.04303532747521,5.8002482002123,2.12862835914479,1.88622396763926,0.379241399715935
3.96909054013977,5.56630094336263,2.03792569421043,1.90048119015119,0.391483876463872
3.98068119525336,5.56181056414751,2.02348407412546,1.8843872711796,0.383089472957944
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.98167680382098,5.34112326599921,1.92903905726107,1.91635516465279,0.383057935232977
3.97381205416431,5.72179345889692,2.09495810942206,1.88699492577405,0.386821059333749
3.95129946412733,5.74271260900768,2.11016940510706,1.88760815332372,0.380398379534185
3.98069689270722,5.97292476278573,2.17098919422622,1.90965202292297,0.39407465246765
4.02055046860693,6.00078953119527,2.20645289450546,1.91794625225934,0.401753127805875
3.93625412897521,5.85847681643169,2.14624848634424,1.91534817358769,0.408858079560577
3.97079055065157,5.82903535614749,2.14247036819464,1.91634920460074,0.397549914958808
3.95198355756822,5.69309087529899,2.05004194602957,1.89557767573383,0.367868425706728
3.97894565602665,5.51151153985614,2.00117086991056,1.86838407519238,0.375454596749833
3.97672271279009,6.30353703132941,2.27912902430894,1.94455207995853,0.39128309504259
3.98418275661699,5.43924196473882,1.99339718065072,1.85973633712192,0.384441008089997
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4.01938165114007,6.12666463993494,2.22252950715166,1.91505010702068,0.406767967350187
4.02091933473828,6.05084631916917,2.21485373741567,1.93642949089529,0.434141866470104
3.96173553330406,5.80787160604835,2.11200497878869,1.94501803946029,0.416704437841086
4.01169973213859,5.61429931478002,1.99596817428843,1.92423894637408,0.397696632105428
3.96595768703038,5.46706406838157,1.98112689546788,1.85558258381026,0.345594866702497
3.96805794399279,5.55735907958123,1.98677898914527,1.87850114941888,0.387714423317273
4.04081851909304,5.81812092051582,2.08472460659102,1.91897586017767,0.399487377471267
4.01094872913514,5.89714583609431,2.1493520062252,1.90317956254488,0.393740584447709
3.98838747223416,5.6438619304085,2.04752083028998,1.96456260054106,0.42665443542171
3.99732959715177,5.71214267424219,2.06735124737973,1.90009130279257,0.407395749334585
4.03061570438578,5.94052769733643,2.1712304742625,1.92468023769022,0.429366284546266
4.00604771862081,5.85433810870937,2.14871145777061,1.90663103395455,0.40716496762564
NA,NA,NA,NA,NA
3.99036582568046,5.5764715053742,2.05658559843433,1.90277645216453,0.377113786182851
3.97510177947448,5.69740672368799,2.08179994897948,1.92616033102102,0.393992626760054
4.02925430945311,5.43191043593652,1.97244741827879,1.88023361731861,0.406397750897857
4.04006893520539,5.95136031467521,2.16287445035899,1.92059978303404,0.413197272895069
4.05555042994661,5.31959532071638,1.95796891429319,1.88532960484704,0.408287585144948
3.64916443689791,6.01507459487405,2.19897293264466,1.78113325679271,0.111482933080605
4.03353178263557,5.79887006679964,2.09375670992164,1.90498221032561,0.386499235883661
3.98180214621663,5.59640855747771,2.00911743982207,1.88652929078058,0.372991389589118
3.97061947387396,5.6420203137089,2.07830773602762,1.87412206222822,0.387395767118293
NA,NA,NA,NA,NA
4.00085209552778,6.21271132420601,2.28175059387884,1.91202105891629,0.405606559826369
4.0092468734913,6.06940965449486,2.21767748395141,1.91171411678287,0.382350947006743
4.04275241175441,5.60912463407206,2.03891038627211,1.88018410454855,0.380449679512567
3.97978084291491,5.77131580727802,2.07054459101619,1.91617473157434,0.390380728542583
NA,NA,NA,NA,NA
4.05301775764967,6.05737322617689,2.19955045847762,1.88958125179421,0.377562867135836
3.97925396955356,5.46849784277282,2.0215183779281,1.85997921192864,0.352024961074574
4.01823257696124,5.87367233280829,2.11934374088407,1.89617701992258,0.392643036189625
4.04115613799618,5.55225692127403,1.9702931959199,1.88106721032842,0.399369208491975
3.97132237448723,5.66455226474821,2.05048879600348,1.90758966305327,0.38612719863798
4.03731919325412,5.42100863606046,1.98729489317629,1.90864341390861,0.400487140935518
4.01668615341018,5.85885416558054,2.12502931570856,1.92444368388202,0.396872282001775
3.99666456636623,5.25618790730701,1.9308614299287,1.89262940895784,0.384199575438529
3.98847853456953,6.48082904586863,2.37414095526441,1.92200995668923,0.400126646528328
4.00330911381535,5.94887069786819,2.16777016886341,1.90501942797636,0.39816209750012
4.07379915368778,5.95595096481404,2.18009025539609,1.92513339326018,0.398338196548238
3.97537718055011,5.88459764977253,2.13255125743976,1.95759566813591,0.396114131515275
