"beta1","beta2","beta3","beta4","beta5"
NA,NA,NA,NA,NA
0.0318608235260573,0.3447401084828,0.121878298624645,0.0221363282320542,0.0172587911477834
0.0337750943470156,0.239189766274598,0.0863912959304526,0.0227987661456041,0.0177344869606191
0.0318003381799168,0.226467150784324,0.0818631693768424,0.0206061426884874,0.0162117738890955
0.0033909725337161,0.00691062233417278,0.00530648670030485,0.00350215491617939,0.00334565969816904
0.031005488648288,0.207224220901418,0.0753341703066261,0.0209685113056481,0.0168057589766731
0.0331205450881615,0.171626554381959,0.064652754601487,0.0206982741501368,0.016478357445293
0.033333504033159,0.252734867690859,0.0907208639032998,0.0236118184087725,0.0182927995211644
0.0347162463797915,0.257619076068476,0.0922430702711867,0.0241249758688899,0.0184932687109077
0.0343497861565714,0.289744949899235,0.102951218303022,0.0228133808365234,0.0177055058311773
0.0328548690428747,0.310012746951725,0.110045949833266,0.0243884893781044,0.0180945904879055
0.0319776886046229,0.362067899385206,0.127451801663986,0.0252708601399875,0.018387785450847
0.0325761242351472,0.22203515403283,0.0809036647164925,0.0213719286652157,0.0171464524344657
NA,NA,NA,NA,NA
0.0340780326225448,0.203668154439922,0.0752313169876518,0.0217389302777806,0.0174399004014041
NA,NA,NA,NA,NA
0.0342689061361072,0.218245769495169,0.0794658560957275,0.0221131470209617,0.0167378974647709
0.0338443735274738,0.200328321939441,0.0729664195805398,0.0212535233834596,0.0164311579620832
0.0347452827177969,0.223942495545145,0.0805407139006818,0.0230882397189771,0.0174910624342902
0.032762087889667,0.266560309497107,0.0959827515775458,0.0208755001576272,0.0168220608459058
0.0361405981097599,0.287746450976682,0.101886014040755,0.0261840798132611,0.0190609925681406
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0331843101906414,0.3808402995045,0.134442370343675,0.0240382593455383,0.0185430893992359
0.0337001295287816,0.278752245508586,0.0992051010688932,0.0234521497386328,0.0181713014646156
NA,NA,NA,NA,NA
0.0330029234175111,0.226428669732114,0.0824809979412387,0.0225355384137095,0.017413859124336
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0316663372080568,0.448602757005863,0.157907545799374,0.0227137887213031,0.0180717587184284
NA,NA,NA,NA,NA
0.0345464389708731,0.215005998727068,0.0785440198310712,0.0227317969189106,0.0178565422054262
0.0316716070627309,0.229928960052959,0.082752246499314,0.0227914845109162,0.0179222830235183
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0310518025908812,0.273888080584337,0.0982553188081945,0.0221332393537595,0.0175128519767439
0.0334928508894685,0.224357895636664,0.0808767370624928,0.0223229890360408,0.0164917838658412
0.0332766270838782,0.259721274312516,0.0925421270628191,0.0217755602739758,0.0169965672946505
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.00169644587599131,0.00244373859686192,0.00202535464917969,0.00221772435899062,0.00227895414961409
0.0337945909060031,0.293102959048092,0.104274433012024,0.0236686872852211,0.0180478903296937
0.0337306719313354,0.255876378745604,0.0918155871197999,0.0217139469642635,0.0170171620564793
NA,NA,NA,NA,NA
0.0341092513109382,0.232535257635717,0.0833773180049288,0.0211468758461569,0.0165598291597203
0.0333539651067674,0.184679937310519,0.0674237322301162,0.0202917399493323,0.0159855513844463
0.0314634598793907,0.519901355603339,0.18170210972271,0.0251654749295744,0.0188223728231107
0.034134575314437,0.313691717508889,0.11125187549117,0.0221786394242792,0.0174947935710423
0.00420003488854369,0.00203088265870879,0.00381319860895622,0.00411311614940334,0.00583834760819046
NA,NA,NA,NA,NA
0.0353293265710694,0.17382232366227,0.0647092980357591,0.0219052319101243,0.017873366374829
0.0319594777668704,0.363623974193934,0.127761087948761,0.0252832096921135,0.0175723329949499
0.0342743859177516,0.20894195625831,0.0766824014665976,0.0215266044267845,0.0170250645327997
0.0353798670680064,0.257563791603004,0.0919436215327515,0.0255313126010402,0.0188784281044963
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0363723372789804,0.210501992173184,0.0764311220229623,0.021977269830904,0.0173700394803072
NA,NA,NA,NA,NA
0.0328670025349986,0.24530656890233,0.0885312574649353,0.0235810192294419,0.0183092385416752
NA,NA,NA,NA,NA
0.035053127066215,0.240623323626085,0.0860591420161277,0.0236928621463508,0.0177962255073902
0.0330712598162702,0.249230678203198,0.0897243392907685,0.0220647505559937,0.0172961844696756
0.0340867519796345,0.224828864705264,0.0816771581169476,0.0215719254906338,0.0172033403057757
0.0338337989718162,0.244686726242063,0.0886701616555355,0.0233243385620621,0.0181949163300493
0.034509810265557,0.225456496584414,0.0814635520899636,0.0221439072986327,0.0170231287592074
0.0311286556345116,0.25099951568612,0.0897716673151076,0.0233284511225458,0.0174336949571923
0.0337691056330141,0.34555187603582,0.121511664285268,0.0215179967053048,0.0161210147494199
0.0345860303949212,0.306293242811995,0.10900266214632,0.0245158587531178,0.0184330524515345
0.0387074366940153,0.25097347472455,0.0926796851045179,0.014680808675163,0.00618855210760122
0.0344081493018412,0.222298542342946,0.0804202635983913,0.0219914386905742,0.0168387955170544
0.032532266769542,0.228137348492687,0.0825347126473257,0.0219928658392606,0.0170246561989287
0.0329385211976054,0.278585148943598,0.0996354282390037,0.0233036800563612,0.0182270328822313
0.0322237633456153,0.195715992393051,0.072107673485995,0.0208637345034856,0.0171530294143651
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0354292414626963,0.317071400500261,0.111917197527469,0.0253794146961501,0.0181150671644971
0.0325103131102792,0.253036999563287,0.0899025110663052,0.0212366873519317,0.0162939369884481
0.0341871261999708,0.253729735546011,0.0906903254916976,0.0232849044827939,0.0179674683106172
0.032510962192768,0.224964665541564,0.0816136454304887,0.0209511209983134,0.0166527233345816
0.0353258354758379,0.267997072659314,0.0957868824639439,0.0227702067885781,0.017979738167322
0.0323340226906331,0.238570001112503,0.0863227191284807,0.0229997255499647,0.0176187388093678
0.00170195043593424,0.00212163767970381,0.00269907513994386,0.00551833554166438,0.00359079023798721
0.0331562043696846,0.230356889858452,0.0833416693472095,0.0227778085958477,0.0180240364847682
0.0323888886627465,0.403324520538118,0.141610395409992,0.022293983024284,0.0168043440627847
NA,NA,NA,NA,NA
0.0343625220510613,0.310597942564951,0.110320931895346,0.0221940667530309,0.0174968561295069
0.0368603797008576,0.314028080236645,0.111406686888841,0.0250284016262866,0.0187638651110029
0.00189836995856384,0.0029858029812744,0.00353612371137523,0.00334425805226105,0.00314379741204121
0.0351837847524713,0.16731337554617,0.0624258472891864,0.0210880496480483,0.0169383387859589
0.0352253059850928,0.263507238252856,0.0943698220897576,0.0217324146064818,0.0168804791320542
0.0308033690735076,0.248451940315695,0.0892199924159727,0.0205702872874926,0.0162892421862439
NA,NA,NA,NA,NA
0.0322859520341339,0.274945759019145,0.09757507675073,0.0230860724322451,0.0173664018637107
0.0332179082836642,0.4669364465756,0.163494056252412,0.0237114024285758,0.0176440670079007
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0344984026855182,0.214821793107083,0.0780965809698864,0.0215825560620253,0.0166191451224835
0.0340939161262195,0.237478843621713,0.0846329091116249,0.0216003742589796,0.0161964164669357
0.0333065949412044,0.243555490848367,0.0880358727750332,0.0230309230570291,0.0178710872044009
NA,NA,NA,NA,NA
0.0308203665944384,0.218818901648628,0.0789021191368071,0.0213039147506673,0.0164746858315791
0.0336067578028947,0.295449365964203,0.105471854217156,0.025196736706626,0.0186411292250493
NA,NA,NA,NA,NA
0.00199702211189675,0.00206456184380345,0.00333457745857943,0.00309625963375149,0.00194368516332036
0.033201084992032,0.198996137629974,0.0723595147955972,0.0212175578220276,0.0166608138481304
NA,NA,NA,NA,NA
0.0308585306100708,0.226597145741425,0.0813608581564797,0.0215848362872346,0.0168840613795264
0.0360197242270763,0.183763384980904,0.0681584463034768,0.0207095633026105,0.0164021608793785
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0359197493063049,0.234915628958004,0.0847645989977441,0.0229378992126982,0.0179646174816257
0.00182049862588426,0.00181030149130328,0.0018644633981972,0.00183999708240975,0.0017213664508249
0.0317801128333209,0.342562843021223,0.121352668411233,0.022758837372895,0.0176617641500178
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0345715832636496,0.194705917606168,0.071401709598238,0.0213496960518586,0.0170181925428999
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0339887770789354,0.271898013904871,0.0969346117457002,0.0227870057789489,0.0177736654169899
0.0327752481164128,0.270247070505242,0.0964390083621355,0.0221599071240269,0.0174597141960756
0.00362272462659983,0.00304856028799929,0.00286351743489965,0.00211624977807421,0.00340317523212763
0.0338839512750208,0.201180726795504,0.0736783531211766,0.0216530039496399,0.0168781897501076
0.0342817469716162,0.292750269986504,0.103474722403508,0.0241777779600191,0.0177693709399673
0.032251676070898,0.300817999639314,0.106876759369119,0.0219774329486956,0.0173523660633095
0.0313277568583255,0.254245859367148,0.0913783350209387,0.0211284375482013,0.0169755675458173
0.0340386529353818,0.302599158632222,0.107346922600308,0.0223054731593906,0.01797950361182
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0322317471380691,0.275847244761118,0.099318671025209,0.0229466179257589,0.0181438022584316
0.0323501407883443,0.234451212595362,0.0844769615693988,0.0209510082480488,0.0163581113956191
0.0324826905507638,0.299522651035279,0.106615648473314,0.024864367044296,0.0186295967981735
0.035620334566455,0.205939758114775,0.0758842273938524,0.02337793568073,0.0187672776192509
0.0351179480884194,0.228808678656495,0.0826021212335556,0.0237797041807422,0.0179240089043732
NA,NA,NA,NA,NA
0.0341199409080704,0.224559789366726,0.081505465748556,0.0217456407231788,0.0171672431712309
0.0360177742209032,0.281473236697187,0.0999824561706756,0.0261496708849567,0.0185832653352882
0.032572120726857,0.188469720070693,0.0688231417164809,0.0218178627261223,0.0165307564212016
0.0320304041594919,0.312662850759338,0.110793451467482,0.024081603510192,0.0180675080088012
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0324697950097718,0.25607884696163,0.0922789348226964,0.0222150622865301,0.0177527627052488
0.0340804307487563,0.154806056721916,0.0583597501438111,0.0210640609958194,0.016449551665763
NA,NA,NA,NA,NA
0.00186252597907693,0.00243024748633919,0.0026422485876786,0.00174237350204865,0.00257798730746664
