"beta1","beta2","beta3","beta4","beta5"
NA,NA,NA,NA,NA
3.98962813299356,6.17115028934727,2.25891515167501,1.91290925172946,0.407045067301521
3.96917705297039,5.63202298023429,2.0888329648933,1.88695392253626,0.387451318701742
4.00801942175465,5.89709614800238,2.16795357736026,1.91554127176623,0.405027782918976
3.98672635001813,5.53001927791902,2.038314727231,1.85895986968228,0.383036142514696
4.06936428296562,5.71140490314279,2.0390792970245,1.89916730268806,0.401853792485188
4.01799513879402,5.51530231148888,2.06326740766481,1.90176817486074,0.423657316832735
3.99098578117528,5.61762655330422,2.03096380359174,1.90831070533882,0.408619449307817
4.05468007947592,5.62583174344595,2.08568839902318,1.89694539720648,0.400962350352308
3.99798627737974,5.87664942070425,2.13978659924643,1.90977396835889,0.406612691371022
3.99773443652613,5.6507452903125,2.10140205341178,1.91243298791864,0.433279017370912
4.03561231292929,5.81527771891743,2.17976317601847,1.90738753959521,0.412110778246761
4.02886814780667,5.87639346583293,2.15575079675972,1.90137511781008,0.407091156376098
NA,NA,NA,NA,NA
4.00719561445143,5.63565871128712,2.07465064873811,1.91271739111794,0.420112374415359
NA,NA,NA,NA,NA
3.96706486863379,5.44732762660267,2.04375261078877,1.88878126782222,0.399915482774793
3.98344531423398,5.47601897953289,2.03909226281616,1.87705123145369,0.38377456297825
3.96321050312052,5.39052467075465,1.98232893958066,1.88465920675984,0.371613294989688
3.97704781741803,6.15119586643813,2.24985599500648,1.91376496026819,0.409308937189709
4.01056065672321,5.36340341564004,1.97554686839667,1.88624637882901,0.364286180262285
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4.00592132801872,6.03063469441557,2.18633342585713,1.90891817496598,0.414237031011481
3.93905520950189,5.67193522198105,2.08930617256323,1.87057143755288,0.379269901801398
NA,NA,NA,NA,NA
3.98584630149198,5.57530015408014,2.0792864512886,1.94537078387215,0.441382620572118
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4.00332520873122,6.43537612062389,2.3282069872174,1.90912998771535,0.408713975808636
NA,NA,NA,NA,NA
3.99129162140338,5.56487954343758,2.05787292061103,1.89677433145357,0.408620230484893
4.01351029592966,5.61837703140764,2.01680291553429,1.91143079580586,0.404661097894186
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.95572317565665,6.03980974352039,2.20358536051119,1.94338323582998,0.426891317436964
3.94743122997431,5.41143425874328,2.01986922795171,1.91501991497296,0.387828195484881
3.97357063747042,5.9301085222373,2.19144747803404,1.91265571965401,0.409459138486916
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.99496987421509,5.53713515163068,2.05049778653518,1.89467595050637,0.405935917940257
4.018329773257,5.70974722532402,2.12667066986851,1.87203266198643,0.40036437795408
3.9901451150458,5.90918118199148,2.14757576874172,1.94450630549116,0.422451436554694
NA,NA,NA,NA,NA
3.96269656777492,5.6788014154496,2.09860239725956,1.86661263637584,0.366878119158268
3.980525179779,5.71216613223087,2.07023352565868,1.90490149566828,0.381267210543869
4.00962682621093,6.2922835217983,2.2985658436488,1.918333671602,0.420730512820447
3.95488816852741,5.9686488129822,2.1560702570138,1.88564899084195,0.392086682080546
3.98828878363564,5.89104569208866,2.17021306083046,1.91574114968941,0.419518394331314
NA,NA,NA,NA,NA
3.99317246153665,5.48506179596648,2.01281794206367,1.86329391729553,0.402997050287112
3.96091604329132,5.65731484597001,2.09389388989789,1.92631415689047,0.386321493241556
3.95718590702708,5.59370245530006,2.0598819577618,1.8934182867741,0.405713472393984
4.00801556060553,5.29173356291006,1.95654721450451,1.85686117636516,0.389756713666631
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.9594310756019,5.57193339198978,2.01163710414577,1.89876589808175,0.402148252020415
NA,NA,NA,NA,NA
4.02490130081737,5.61311690309222,2.07490100671122,1.91578400895055,0.423340556648456
NA,NA,NA,NA,NA
4.01479205550327,5.42568035675659,2.00331883698031,1.87728187723365,0.378338105806793
4.00559521089834,5.72721621249771,2.11816567689504,1.88415924635737,0.403588911754386
4.00032092628704,5.85451639855787,2.12782997016807,1.920809861494,0.408690622269338
4.03002630020689,5.59909910578255,2.02491973107252,1.91603107221314,0.392352698393513
3.96336452839258,5.4706072359977,2.04084612311438,1.85740269889648,0.382687399231745
4.00699907444356,5.51044420693999,2.03445144343361,1.89825251330724,0.393994218028031
4.02169049461017,6.15670763456084,2.294280736832,1.9288100706603,0.413877483356355
3.96430278233706,5.69668333607518,2.12025349794392,1.89751331523227,0.403183442620403
3.46835453701727,6.09933595960191,2.27831247646357,1.74328332584035,0.088892114917013
3.99101293213679,5.53070253081326,2.05901322434029,1.88727848247445,0.401264234352414
4.01289567586944,5.69972405498716,2.08936290650128,1.93088127416719,0.414435914045047
3.98715111292136,5.75944108812163,2.11493027940728,1.8734100461388,0.398805929101196
3.96378175875992,5.96508283522521,2.15394837162432,1.88434201437344,0.385796241722486
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4.01269271754013,5.55415823735731,2.07293792476522,1.89539295052212,0.394651769366967
3.96697548276122,5.86362065186255,2.17950611095998,1.91177235900639,0.39505887708485
3.98156385848365,5.59116524370218,2.06369725291643,1.86845243135236,0.394954349708738
3.9965351444892,5.82452833995614,2.14533234061383,1.90276540131786,0.405354140999985
3.98617966763044,5.7610269370019,2.10432975942374,1.87347969183362,0.395185279131641
3.95565614228661,5.57481441718026,2.06808496278275,1.92018521890475,0.410076391743211
3.98040799567683,5.61617601797333,2.03386352740993,1.89122457961427,0.398340062719991
4.00037894791615,5.76850283456447,2.13284128859506,1.91454546189188,0.420651425360995
3.96803600868362,6.24057800324181,2.29290266848174,1.93878586820283,0.414116062351981
NA,NA,NA,NA,NA
4.04182913307334,6.08958882237441,2.23215883670681,1.90675426927432,0.411715247384289
3.97125645145366,5.6663856805915,2.11406863583794,1.88770230256277,0.381148489986868
4.0161358132728,5.68752050106108,2.09116780473073,1.93682297355752,0.397871094225658
4.00864180960338,5.44048375593246,1.95376770296822,1.88312211121656,0.383139557906758
3.96390782861769,5.86770154311826,2.12300383287517,1.93587055136849,0.396833310843629
3.98110356008256,6.01423722320056,2.18007463718243,1.92629630525038,0.395371107284988
NA,NA,NA,NA,NA
3.9608982394367,5.61847859872498,2.08568069855188,1.87655201657423,0.385781706925819
4.0166117742267,6.26145699144478,2.29651313638742,1.92660338047003,0.408043100783404
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.97790324522591,5.58126666511734,2.0737310288905,1.92083498786861,0.414867288078856
3.95672670423162,5.67437023263214,2.10583873276996,1.92936245720535,0.40842146017355
3.99045062273313,5.662309016571,2.09080371354807,1.91889269436202,0.415883112813611
NA,NA,NA,NA,NA
3.98055458978836,5.58828424533392,2.05527168360707,1.89066064780209,0.377166641123703
3.95934344628486,5.54201771590002,2.0423228230858,1.91745840246855,0.410200322355494
NA,NA,NA,NA,NA
4.00490005979291,5.51416785894115,2.03894158376088,1.88721009923497,0.396202737707633
4.03141529002298,5.58388583552712,2.04111937527596,1.90158676890269,0.40189698737163
NA,NA,NA,NA,NA
4.00363292451114,5.76965629110297,2.08839974767481,1.91456206883356,0.390602207670135
4.03438969376271,5.55607329108587,2.07540857957974,1.88345955035919,0.408245792855962
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4.0425026567098,5.59947302076988,2.0590398563019,1.90662541089074,0.42983059206803
3.50517228939224,5.99475520326736,2.27519178969074,1.7703873780306,0.087586675850797
3.99365563301534,6.02193331590874,2.19892945556461,1.89989472922586,0.394004339941906
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.96955913958087,5.60868240420842,2.00722040760281,1.9058111610822,0.398432200815577
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4.00213877172202,5.85363377991123,2.15368349807805,1.90983922001332,0.420954713059959
3.96295573251,5.79647697677455,2.08455953258047,1.8940944752626,0.391481859372696
3.99659127261518,5.93856091575176,2.18572983076229,1.88862531243571,0.387765835442115
3.93946661965483,5.49777288720782,2.03219641373262,1.9000340582788,0.400878859668032
3.98070191597601,5.53210667293058,2.06879649515519,1.86626633876628,0.371518590568912
3.97029871517384,6.00772861745485,2.18252503095482,1.90518199818257,0.413553315983332
4.00748459940643,6.02418252620847,2.23241210271912,1.88871352584412,0.411395498081879
3.95194896429608,6.097899175458,2.20326682635744,1.88150847379211,0.380880535760754
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.98918153698447,5.82165339698984,2.13948242149307,1.89742799752299,0.406871277959224
4.03744253791718,5.87340582402279,2.15763602415245,1.92072050906908,0.393854324377364
4.0143823089788,5.63382970178392,2.07875818370365,1.93634340318109,0.440270754866567
3.98533363449864,5.4245247608956,1.98323515971462,1.87165318242835,0.415237831954576
3.99467397484339,5.30925692316202,1.94226588996898,1.88216029584439,0.399515512399266
NA,NA,NA,NA,NA
4.05831290824643,5.73371046597429,2.08441326583016,1.90016599328766,0.388584032642735
3.96977176857306,5.30303239834724,1.98178371280787,1.88225098994728,0.379947861502671
3.98901077174937,5.24278562572379,1.91797598153776,1.88826399369044,0.375854259340735
4.04273346472473,5.69913750412669,2.10924735435247,1.87650833122567,0.382085252615953
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4.01073923030282,5.91938538628633,2.20671316670187,1.9006039318156,0.424669628176579
3.98234600035951,5.32744019630459,1.93928947318771,1.91075237360384,0.388607520662209
NA,NA,NA,NA,NA
3.95251964105767,5.73314937972703,2.12343426573938,1.88234423511741,0.386878438307956
3.98176450818757,5.95067664310007,2.18034635017436,1.90479796957201,0.400753591759513
NA,NA,NA,NA,NA
3.93839294214125,5.83274747267102,2.15531815896347,1.91192600042644,0.41892298210111
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.97757570483292,6.28352754427788,2.28615498462569,1.93988713233218,0.3972918816083
3.98394907909853,5.40430608368368,1.99813166492107,1.85238296342281,0.388848845251581
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4.02164349662265,6.05232731140093,2.21303494454148,1.91015950689432,0.415356600325883
4.02510887448657,6.02154340737015,2.22245939364812,1.93629691587191,0.447906567507238
3.96521370021334,5.80756151816081,2.13014052646808,1.94344774029497,0.42892336564893
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.96868637345281,5.55188184018398,1.99788014767007,1.87408387643645,0.39318058465151
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.99203197227919,5.62938464352026,2.05968066874592,1.96343236485638,0.439030130402784
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.9911125148378,5.5654271370369,2.07028705657158,1.8962149226154,0.382722350362646
3.97674004258367,5.67199987473529,2.08880946318149,1.92107144472908,0.401404381111896
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4.05728761051882,5.26263455824974,1.95372468395209,1.87926069947414,0.416172869044168
4.08123380659698,5.77699448368102,2.09795940468175,1.93010789295668,0.423666521858731
4.03391741244743,5.78880432567201,2.1056912493883,1.90016210455725,0.391861507309503
3.98083103516553,5.56688779979427,2.01138377981686,1.87915478004784,0.375505699276766
3.97201092553837,5.62296080070821,2.08946693104902,1.86878164568817,0.39450707878418
4.01688304143728,5.71598369835201,2.09172052700927,1.90211863281245,0.401281174865289
NA,NA,NA,NA,NA
4.00975030756831,6.04887086530442,2.22678045430141,1.90588330387422,0.388067181925846
4.04181546228422,5.55502579259914,2.03433724847354,1.87103424623115,0.3834214395546
3.98107317846632,5.76214129613432,2.08160031229242,1.91169356978501,0.396511282710456
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.97550703397408,5.39585849881451,2.01044263278641,1.84722293597619,0.350551378092876
NA,NA,NA,NA,NA
4.04144913637608,5.54092699996148,1.97758660162962,1.87717605579391,0.404865207917227
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.99738639848304,5.21118434244624,1.92974325567991,1.88496118903499,0.389292428752776
NA,NA,NA,NA,NA
4.00511930902146,5.87058776488137,2.15805610542475,1.89839014248034,0.405797632311323
4.07553603684588,5.92654433246182,2.18573207265536,1.92040283316661,0.406036547760962
NA,NA,NA,NA,NA
3.99437578745344,6.5511888436144,2.4200055263987,1.94191229586857,0.416868422367378
4.02940841913501,5.50282739014941,2.00010155757533,1.89672126773058,0.393426447049606
3.90389891460831,5.5218755544681,2.02905343771646,1.90956818738544,0.401746273204183
4.00657720741541,5.77931128714145,2.13374002542122,1.89448197837019,0.405396440187192
4.00024022829754,6.25405384578036,2.32390320353871,1.88623768722841,0.394847719031176
NA,NA,NA,NA,NA
4.02041478382333,5.36167709490682,1.94750296979234,1.87005446991936,0.399279026479826
3.96208103719304,6.07109223388047,2.26049179945459,1.95631878924459,0.418689026698845
NA,NA,NA,NA,NA
4.01820978454482,5.7878317654939,2.12025719682604,1.8893970135309,0.404362493037452
3.99673254071666,5.9619181571666,2.22225017445499,1.91919804140126,0.404509036407352
NA,NA,NA,NA,NA
